rule,exit,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,test_positive,oos_nonnegative,score
R6_macd_turn_rebreak,fixed_2R_max48,rebreak + MACD slope3>0。売り遅れを避ける仮説。,29,62.06896551724138,6.069443205089028,0.20929114500306994,1.9940047699488554,3.754602772510278,5,15,80.0,8.276629858649533,0.5517753239099689,11.617045427234313,0.4710685939883277,1,13,46.15384615384615,-1.203768557842774,-0.09259758137252107,0.7215478637463466,2.7511846767925485,5,1,0.0,-1.003418095717731,-1.003418095717731,0.0,0.0,1,False,False,4.990139892910475
R6_macd_turn_rebreak,fixed_1R,rebreak + MACD slope3>0。売り遅れを避ける仮説。,29,55.172413793103445,5.475281174475997,0.18880279911986197,1.5312644783758933,5.096699037410678,5,15,66.66666666666666,6.62519587789059,0.441679725192706,3.062821358129565,1.1734527307274876,2,13,46.15384615384615,-0.1464966076968629,-0.011268969822835607,0.9759486648094668,4.093280941692947,5,1,0.0,-1.003418095717731,-1.003418095717731,0.0,0.0,1,False,False,4.946970073812168
R8_gbp_only_slow,fixed_1R,GBPJPY専用 + signal_recovery_bars>16。,14,57.14285714285714,2.999001716201104,0.21421440830007885,1.72865232259641,2.0175331103144574,2,7,71.42857142857143,2.9552926662924657,0.42218466661320936,2.46480503897745,2.0175331103144574,2,5,40.0,0.5195280284634622,0.10390560569269244,1.3531947508305209,1.0075554564855833,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,True,False,4.871881534383042
R7_gbp_only_adx,half_1R_BE_rest_2R_time12,GBPJPY専用 + ADX>=25。,13,69.23076923076923,2.4821545133906087,0.19093496256850837,3.182938590191042,1.0689832188608226,3,9,88.88888888888889,3.3363244187700483,0.37070271319667203,50.00088462861965,0.06808702422530177,1,2,50.0,-0.28093760444864024,-0.14046880222432012,0.4333089576078295,0.49575091793002324,1,2,0.0,-0.5732323009307991,-0.28661615046539957,0.0,0.36098296012189246,2,False,False,4.824217383149944
R5_gbp_aud_atr80_rebreak,fixed_2R_no_progress12,GBPJPY/AUDJPY + ATR percentile>=80 + rebreak。,17,47.05882352941176,2.7503572986658074,0.16178572345092984,2.0174337190661142,1.5246933557123161,4,10,60.0,2.701171169459716,0.2701171169459716,5.947761517797719,0.5459380286910078,4,7,28.57142857142857,0.049186129206091334,0.007026589886584477,1.02279994134507,1.524693355712316,3,0,0.0,0.0,0.0,,0.0,0,True,True,4.116856154296398
R3_gbp_aud_adx,fixed_1R,GBPJPY/AUDJPY + ADX>=25。,25,56.00000000000001,6.373334030223744,0.25493336120894977,1.952369238531173,4.210648216499399,5,14,78.57142857142857,9.60450960377745,0.6860364002698178,8.245724547211932,1.0026086840014539,1,8,25.0,-2.217626370937324,-0.2772032963671655,0.4721776639995895,3.1970990138830184,5,3,33.33333333333333,-1.0135492026163824,-0.33784973420546077,0.13005872547790903,1.16507772685367,2,False,False,3.8002036426188903
R5_gbp_aud_atr80_rebreak,BE_after_1R_to_2R,GBPJPY/AUDJPY + ATR percentile>=80 + rebreak。,17,41.17647058823529,5.2768060672668735,0.3104003568980514,1.9948299602117334,3.060079409168643,4,10,60.0,7.357412833489822,0.7357412833489823,6.9745941613465225,1.0054709658059806,3,7,14.285714285714285,-2.08060676622295,-0.29722953803185,0.4891432618494133,3.0600794091686443,4,0,0.0,0.0,0.0,,0.0,0,False,True,3.6316998694254146
R4_gbp_aud_adx_rebreak,half_1R_BE_rest_2R_time12,GBPJPY/AUDJPY + ADX>=25 + rebreak。,20,65.0,2.7312805690965263,0.13656402845482632,2.2058049333565304,1.5246933557123161,3,12,83.33333333333334,4.080447411396342,0.34003728428302854,38.8457397619182,0.06808702422530177,1,7,28.57142857142857,-1.4508138707939087,-0.2072591243991298,0.32748375018259085,1.5246933557123161,3,1,100.0,0.10164702849409336,0.10164702849409336,inf,0.0,0,False,True,3.4100421640370144
R3_gbp_aud_adx,half_1R_trail1ATR_rest_2R,GBPJPY/AUDJPY + ADX>=25。,25,56.00000000000001,6.51850004765248,0.2607400019060992,1.9740614405754389,4.210648216499399,5,14,78.57142857142857,10.18451869878203,0.7274656213415736,8.683288390724357,1.0026086840014539,1,8,25.0,-2.6524694485131683,-0.33155868106414604,0.3686796663171942,3.197099013883018,5,3,33.33333333333333,-1.0135492026163824,-0.33784973420546077,0.13005872547790903,1.16507772685367,2,False,False,3.343830449213872
R5_gbp_aud_atr80_rebreak,half_1R_BE_rest_2R,GBPJPY/AUDJPY + ATR percentile>=80 + rebreak。,17,58.82352941176471,4.958757101355079,0.29169159419735763,1.937490138682281,3.060079409168643,4,10,80.0,7.039363867578029,0.7039363867578029,6.746642421628233,1.0026086840014539,2,7,28.57142857142857,-2.08060676622295,-0.29722953803185,0.48809560893280474,3.0600794091686443,4,0,0.0,0.0,0.0,,0.0,0,False,True,3.1627672684806987
R6_macd_turn_rebreak,half_1R_trail1ATR_rest_2R,rebreak + MACD slope3>0。売り遅れを避ける仮説。,29,55.172413793103445,5.188555573891605,0.1789157094445381,1.5034436009127263,5.146923639072426,5,15,66.66666666666666,7.300876066874797,0.4867250711249865,3.2732011794648113,1.1734527307274876,2,13,46.15384615384615,-1.1089023972654615,-0.08530018440503549,0.8179440215748522,4.143505543354696,5,1,0.0,-1.003418095717731,-1.003418095717731,0.0,0.0,1,False,False,3.1218008524534815
R4_gbp_aud_adx_rebreak,BE_after_1R_to_2R,GBPJPY/AUDJPY + ADX>=25 + rebreak。,20,35.0,5.207357930803428,0.2603678965401714,1.8748047450113392,3.5978096332302014,5,12,50.0,7.825694921087935,0.6521412434239946,6.830998149112545,1.106060129637806,3,7,14.285714285714285,-2.08060676622295,-0.29722953803185,0.4891432618494133,3.0600794091686443,4,1,0.0,-0.5377302240615588,-0.5377302240615588,0.0,0.0,1,False,False,3.0038586375506284
R4_gbp_aud_adx_rebreak,half_1R_BE_rest_2R,GBPJPY/AUDJPY + ADX>=25 + rebreak。,20,55.00000000000001,5.101792210725125,0.25508961053625623,1.8606674590538375,3.5978096332302014,5,12,75.0,7.720129201009633,0.6433441000841361,6.824131784656945,1.0026086840014539,1,7,28.57142857142857,-2.08060676622295,-0.29722953803185,0.48809560893280474,3.0600794091686443,4,1,0.0,-0.5377302240615588,-0.5377302240615588,0.0,0.0,1,False,False,2.857764201495248
