symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,63355,2024-04-23 03:00:00,short,191.02,191.65,190.29,191.33,8.232711101797586,0.7647058823529486,0.2980769230769194,9,5,0.5555555555555556,8,191.24,191.03,1.2712274495423097,0.06053464045433835,0.7777777777776725,True,1,0,H4順,191.36303893415388,63330-63339-63344,4
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,63506,2024-05-01 11:00:00,short,196.85,200.08,193.63,197.38,27.274995193072094,0.5813953488372078,0.14133333333333364,6,50,8.333333333333334,1,197.38,196.93,1.9029066413770697,0.3382945140226516,0.2727272727272774,True,0,1,H4逆,197.4272960669972,63446-63452-63502,12
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,63553,2024-05-03 10:00:00,short,191.81,192.77,191.7,192.5,2.7571678195395304,0.7476635514018647,0.862499999999985,3,9,3.0,1,192.5,191.89,1.5718433363730067,0.20614338837674215,0.6710526315789435,True,1,0,H4順,192.57761587759853,63537-63540-63549,11
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,63614,2024-05-08 00:00:00,long,193.75,192.98,193.98,193.31,5.081646623193897,0.6699999999999875,0.6567164179104567,4,9,2.25,2,193.6,193.31,1.4736775207261896,0.7622469934791134,0.2499999999999556,True,1,0,H4順,193.27064267848002,63596-63600-63609,1
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,63928,2024-05-27 05:00:00,long,199.9,199.15,200.05,199.58,6.013797545327725,0.5222222222222177,0.6808510638297743,9,11,1.2222222222222223,1,199.82,199.58,1.6036793454205873,0.534559781806989,0.6249999999999778,True,1,0,H4順,199.55006882944707,63904-63913-63924,6
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,64140,2024-06-07 02:00:00,short,198.96,199.73,198.8,199.33,3.7956963460476976,0.569892473118294,0.6981132075471769,6,6,1.0,0,199.33,198.98,1.4284878721686143,0.08162787840955556,0.6296296296295595,True,0,1,H4逆,199.37900286615226,64125-64131-64137,3
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,64429,2024-06-25 06:00:00,long,202.53,201.54,202.65,201.99,5.703531648776621,0.5945945945945842,0.8181818181818103,5,10,2.0,4,202.47,202.14,1.6956445442309307,0.3082990080419874,0.9090909090908621,True,1,0,H4順,201.95107674793957,64407-64412-64422,7
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,64597,2024-07-04 07:00:00,short,205.55,206.05,205.49,205.86,3.1303635613407472,0.6607142857142911,0.8378378378378337,4,3,0.75,2,205.86,205.58,1.5651817806703736,0.16769804792897428,0.5714285714285134,True,0,1,H4逆,205.89577859178507,64585-64589-64592,8
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,64802,2024-07-16 22:00:00,long,205.54,205.18,205.59,205.26,2.1674448456131117,0.804878048780525,0.8484848484848198,5,9,1.8,0,205.5,205.26,1.2687482023101728,0.21145803371831204,0.5,True,1,0,H4順,205.2221674340798,64785-64790-64799,23
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,64872,2024-07-21 21:00:00,long,203.52,202.92,203.71,203.12,3.1560925535251387,0.7468354430379597,0.677966101694921,3,2,0.6666666666666666,5,203.44,203.15,1.1585656209142297,0.3196043092177772,0.5600000000000591,True,0,1,H4逆,203.06993809676985,64859-64862-64864,22
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,65072,2024-08-01 06:00:00,short,191.3,193.95,191.01,192.71,4.259610927925714,0.578231292517013,0.8294117647058721,7,4,0.5714285714285714,0,192.71,191.54,1.695151287643931,0.3477233410551326,0.5696202531645483,True,1,0,H4順,192.84804077648153,65058-65065-65069,7
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,65277,2024-08-13 21:00:00,long,189.08,187.6,189.48,187.99,5.55769249025896,0.7925531914893533,0.7315436241610856,8,6,0.75,7,188.96,188.45,1.5076718989532893,0.3547463291654798,0.9166666666666272,True,0,1,H4逆,187.92234602298365,65253-65261-65267,22
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,65525,2024-08-28 07:00:00,short,190.73,191.89,190.51,191.39,4.551841141135592,0.6376811594202887,0.75,14,6,0.42857142857142855,2,191.39,190.84,1.8141395852351494,0.3628279170470861,0.46511627906979974,True,0,0,H4中立,191.45063480500355,65500-65514-65520,8
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,65570,2024-08-30 04:00:00,long,190.92,190.29,191.5,190.46,4.2812110401245524,0.8595041322313928,0.442307692307676,6,10,1.6666666666666667,3,190.82,190.46,1.27374873921055,0.3538190942251472,0.3783783783783369,True,0,1,H4逆,190.40347393816097,65548-65554-65564,5
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,65969,2024-09-23 23:00:00,long,191.92,190.12,192.39,191.12,6.10094950015502,0.559471365638763,0.6299212598425152,6,3,0.5,5,191.8,191.24,1.505080052901697,0.3225171541931553,0.7254901960783571,True,1,0,H4順,191.0455853535604,65952-65958-65961,0
