direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,premove_atr,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
long,48,6,0.05,0.55,0.65,1.2,1.2,0.65,align,1.2,24,52,57.692307692307686,10.578179737213821,0.2034265334079581,1.4613020539253132,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,44,6.556166093362429,8,4.022013643851389,17.647123484840968
long,48,6,0.05,0.55,0.65,1.2,1.2,0.5,align,1.2,24,52,57.692307692307686,10.578179737213821,0.2034265334079581,1.4613020539253132,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,44,6.556166093362429,8,4.022013643851389,17.647123484840968
long,24,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.5,12,73,54.794520547945204,12.332161941866698,0.16893372523105066,1.4331509817166075,4.910069234341821,3,-2.1855633642038805,-2.8116059228931296,61,8.262250562371838,12,4.069911379494858,17.625786549205404
long,24,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.5,12,73,54.794520547945204,12.332161941866698,0.16893372523105066,1.4331509817166075,4.910069234341821,3,-2.1855633642038805,-2.8116059228931296,61,8.262250562371838,12,4.069911379494858,17.625786549205404
long,48,12,0.05,0.55,0.65,1.2,0.8,0.65,align,1.2,24,54,57.407407407407405,10.661167151324413,0.19742902132082246,1.444343852498933,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,46,6.639153507473025,8,4.022013643851389,17.051601984805565
long,48,12,0.05,0.55,0.65,1.2,1.2,0.65,align,1.2,24,54,57.407407407407405,10.661167151324413,0.19742902132082246,1.444343852498933,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,46,6.639153507473025,8,4.022013643851389,17.051601984805565
long,48,12,0.05,0.55,0.65,1.2,0.8,0.5,align,1.2,24,54,57.407407407407405,10.661167151324413,0.19742902132082246,1.444343852498933,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,46,6.639153507473025,8,4.022013643851389,17.051601984805565
long,48,12,0.05,0.55,0.65,1.2,1.2,0.5,align,1.2,24,54,57.407407407407405,10.661167151324413,0.19742902132082246,1.444343852498933,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,46,6.639153507473025,8,4.022013643851389,17.051601984805565
long,24,6,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,12,79,55.69620253164557,11.010038817950297,0.1393675799740544,1.3595022274571544,3.849861613882651,3,-2.0916079265890635,-1.7915034193374424,64,8.813939702220125,15,2.1960991157301732,16.916196952840533
long,24,6,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,12,79,55.69620253164557,11.010038817950297,0.1393675799740544,1.3595022274571544,3.849861613882651,3,-2.0916079265890635,-1.7915034193374424,64,8.813939702220125,15,2.1960991157301732,16.916196952840533
long,24,12,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,24,76,56.57894736842105,14.100732179904293,0.1855359497355828,1.4096833138766172,5.068313716277788,3,-2.900163273433943,-4.991771200023006,61,10.797676052067473,15,3.3030561278368173,15.150546307111576
