entry_time,strategy,symbol,side,r,cum_R
2018-12-04 04:00:00,TrendBreakV1,XAUUSD,long,3.000000000000022,60.48651066518356
2018-12-11 12:00:00,SaiBest,XAGUSD,long,-1.0,59.48651066518356
2018-12-12 10:00:00,SaiBest,XAGUSD,long,0.600380425384761,60.08689109056832
2018-12-18 16:00:00,TrendBreakV1,AUDJPY,short,-1.0000000000000062,59.086891090568315
2018-12-20 15:00:00,TrendBreakV1,GBPJPY,short,3.000000000000008,62.08689109056832
2019-01-02 02:00:00,TrendBreakV1,EURJPY,short,3.0000000000000333,65.08689109056836
2019-01-17 17:00:00,TrendBreakV1,GBPJPY,long,2.9999999999999885,68.08689109056834
2019-01-25 14:00:00,SaiBest,XAGUSD,long,1.3996744943036394,69.48656558487198
2019-01-29 08:00:00,SaiBest,XAGUSD,long,0.3277708592776974,69.81433644414967
2019-01-30 19:00:00,TrendBreakV1,AUDJPY,long,-0.9999999999999984,68.81433644414967
2019-01-31 16:00:00,SaiBest,AUDJPY,long,-1.0,67.81433644414967
2019-02-01 14:00:00,SaiBest,AUDJPY,long,0.5922684172136825,68.40660486136336
2019-02-04 09:00:00,SaiBest,EURJPY,long,-1.0,67.40660486136336
2019-02-18 03:00:00,SaiBest,XAGUSD,long,1.2412094677794543,68.64781432914282
2019-02-18 13:00:00,TrendBreakV1,XAUUSD,long,-0.9999999999999696,67.64781432914285
2019-02-20 00:00:00,TrendBreakV1,CHFJPY,long,-1.000000000000024,66.64781432914282
2019-02-20 01:00:00,SaiBest,EURJPY,long,0.5501754385964956,67.19798976773932
2019-02-22 08:00:00,SaiBest,XAGUSD,long,-1.0,66.19798976773932
2019-02-25 17:00:00,TrendBreakV1,USDJPY,long,-0.99999999999999,65.19798976773933
2019-02-26 10:00:00,SaiBest,EURJPY,long,-1.0,64.19798976773933
2019-03-01 13:00:00,TrendBreakV1,SILVER,short,2.9999999999999942,67.19798976773933
2019-03-01 16:00:00,TrendBreakV1,XAUUSD,short,2.9999999999999933,70.19798976773933
2019-03-13 23:00:00,SaiBest,CHFJPY,long,0.7750601261514325,70.97304989389076
2019-03-22 14:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999996,69.97304989389076
2019-03-25 00:00:00,TrendBreakV1,AUDJPY,short,-1.0000000000000064,68.97304989389076
2019-04-03 09:00:00,TrendBreakV1,AUDJPY,long,-0.9999999999999768,67.97304989389079
2019-04-08 14:00:00,SaiBest,AUDJPY,long,0.4502617801046736,68.42331167399546
2019-04-16 12:00:00,TrendBreakV1,XAUUSD,short,2.9999999999999893,71.42331167399544
2019-04-18 14:00:00,TrendBreakV1,CHFJPY,short,2.9999999999999982,74.42331167399544
2019-05-05 21:00:00,TrendBreakV1,USDJPY,short,-0.9999999999999964,73.42331167399544
2019-05-05 22:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999956,72.42331167399544
2019-05-08 03:00:00,TrendBreakV1,GBPJPY,short,3.0000000000000075,75.42331167399546
2019-05-13 13:00:00,TrendBreakV1,XAUUSD,long,-0.999999999999993,74.42331167399546
2019-05-16 15:00:00,TrendBreakV1,SILVER,short,-1.0000000000000069,73.42331167399546
2019-05-31 01:00:00,SaiBest,XAUUSD,long,6.303413569663122,79.72672524365858
2019-05-31 04:00:00,TrendBreakV1,USDJPY,short,2.999999999999992,82.72672524365856
2019-06-13 01:00:00,TrendBreakV1,AUDJPY,short,3.0000000000000187,85.72672524365858
2019-06-20 00:00:00,TrendBreakV1,USDJPY,short,2.999999999999993,88.72672524365856
