symbol_mode,trigger_mode,bb_lo,bb_hi,recovery_max,macd_min,bb_width_max,close_location_min,body_ratio_min,adx_max,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_loss_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_loss_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_loss_streak,oos_positive,research_positive,oos_retention_avg_r,robust_score,thin_sample,candidate_pass
all7,weak_rebreak_guard,0.75,1.0,16,0.02,4.0,0.6,none,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
all7,weak_rebreak_guard,0.75,1.0,20,0.02,4.0,0.6,none,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
all7,weak_rebreak_guard,0.75,1.0,20,0.02,4.0,none,none,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
all7,weak_rebreak_guard,0.75,1.0,16,0.02,4.0,0.6,0.45,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
all7,weak_rebreak_guard,0.75,1.0,16,0.02,4.0,none,none,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
all7,weak_rebreak_guard,0.75,1.0,16,0.02,4.0,none,0.45,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
all7,all,0.75,1.0,12,0.02,4.0,0.6,0.45,none,21,80.95238095238095,27.40461603472824,1.30498171593944,11.948511863348733,2.029065903389963,2,17,76.47058823529412,23.35697597558998,1.3739397632699988,10.331425342235564,2.029065903389963,2,4,100.0,4.047640059138268,1.011910014784567,inf,0.0,0,True,True,0.7365024594500452,1.853019193197558,False,True
all7,all,0.75,1.0,12,0.02,4.0,none,none,none,21,80.95238095238095,27.40461603472824,1.30498171593944,11.948511863348733,2.029065903389963,2,17,76.47058823529412,23.35697597558998,1.3739397632699988,10.331425342235564,2.029065903389963,2,4,100.0,4.047640059138268,1.011910014784567,inf,0.0,0,True,True,0.7365024594500452,1.853019193197558,False,True
all7,all,0.75,1.0,12,0.02,4.0,none,0.45,none,21,80.95238095238095,27.40461603472824,1.30498171593944,11.948511863348733,2.029065903389963,2,17,76.47058823529412,23.35697597558998,1.3739397632699988,10.331425342235564,2.029065903389963,2,4,100.0,4.047640059138268,1.011910014784567,inf,0.0,0,True,True,0.7365024594500452,1.853019193197558,False,True
all7,all,0.75,1.0,12,0.02,4.0,0.6,none,none,21,80.95238095238095,27.40461603472824,1.30498171593944,11.948511863348733,2.029065903389963,2,17,76.47058823529412,23.35697597558998,1.3739397632699988,10.331425342235564,2.029065903389963,2,4,100.0,4.047640059138268,1.011910014784567,inf,0.0,0,True,True,0.7365024594500452,1.853019193197558,False,True
all7,all,0.75,1.0,16,0.0,4.0,0.6,0.45,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,20,0.0,4.0,0.6,none,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,20,0.0,4.0,none,0.45,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,20,0.0,4.0,0.6,0.45,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,16,0.0,4.0,0.6,none,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,20,0.0,4.0,none,none,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,16,0.0,4.0,none,0.45,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,16,0.0,4.0,none,none,none,32,78.125,40.47169279932357,1.2647403999788616,8.243776486505096,2.029065903389963,2,27,74.07407407407408,34.43360194020814,1.2753185903780793,7.1630561715551675,2.029065903389963,2,5,100.0,6.038090859115435,1.207618171823087,inf,0.0,0,True,True,0.946914897135686,1.8427726416072745,False,True
all7,all,0.75,1.0,12,0.02,4.0,0.65,0.45,none,20,80.0,25.43071655753524,1.271535827876762,11.159912533377504,2.029065903389963,2,16,75.0,21.383076498396974,1.336442281149811,9.542826012264335,2.029065903389963,2,4,100.0,4.047640059138268,1.011910014784567,inf,0.0,0,True,True,0.7571670165313598,1.8399232214167192,False,True
all7,all,0.75,1.0,12,0.02,4.0,0.65,none,none,20,80.0,25.43071655753524,1.271535827876762,11.159912533377504,2.029065903389963,2,16,75.0,21.383076498396974,1.336442281149811,9.542826012264335,2.029065903389963,2,4,100.0,4.047640059138268,1.011910014784567,inf,0.0,0,True,True,0.7571670165313598,1.8399232214167192,False,True
all7,all,0.75,1.0,20,0.02,4.0,none,0.45,30.0,21,76.19047619047619,26.173501805345804,1.2463572288259908,8.423294127560922,2.029065903389963,2,18,72.22222222222221,22.30873805600052,1.2393743364444734,7.3271749204984,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,1.0394394536285527,1.83463797221368,False,True
