timeframe,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_REBREAK_ONLY_RR2,XAUUSD,34,47.05882352941176,10.970466265861988,0.3226607725253526,1.7968965373452899,3.6169963764839848,4,112.6470588235294
H4,VCTX_618_800_STAG_ONLY_RR2,GBPJPY,28,53.57142857142857,10.383038135499698,0.37082279055356066,1.8296216020711298,4.182543509147502,4,94.17857142857143
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,XAUUSD,26,50.0,10.35181865229283,0.3981468712420319,1.9362321613541482,4.317055144130727,4,103.88461538461539
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,GBPJPY,16,68.75,10.11532306607273,0.6322076916295456,3.0094174923961026,1.011724848895423,2,118.4375
H4,VCTX_618_800_STAG_ONLY_RR2,USDJPY,25,52.0,8.67798976309677,0.3471195905238708,1.7387847351273156,2.7604335066521486,2,96.32
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,CHFJPY,23,52.17391304347826,8.398744694738316,0.36516281281470936,1.8213476354587663,5.045914452792125,5,105.1304347826087
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,AUDJPY,23,56.52173913043478,8.312599695831928,0.361417378079649,1.8249012577575565,5.045284370833375,5,83.3913043478261
H4,VCTX_618_800_REBREAK_ONLY_RR2,USDJPY,41,46.34146341463415,8.24025260359731,0.2009817708194466,1.4326898424001848,9.364716046580202,8,113.95121951219512
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,XAUUSD,33,42.42424242424242,7.597847139957894,0.23023779211993617,1.516979714887695,3.908794391342072,3,110.33333333333333
H4,VCTX_618_800_REBREAK_ONLY_RR2,CHFJPY,26,46.15384615384615,7.346538938085945,0.2825591899263825,1.5901562102846198,4.032756686843984,4,99.96153846153847
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,CHFJPY,32,46.875,6.684955005939794,0.20890484393561856,1.4101664093777537,5.0459144527921245,5,100.03125
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,CHFJPY,32,46.875,6.675701297029086,0.20861566553215893,1.409598632847626,5.0459144527921245,5,97.21875
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,USDJPY,17,58.82352941176471,6.470853401243832,0.38063843536728426,2.1968100694535493,2.369927637332918,3,130.94117647058823
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,USDJPY,15,60.0,5.686773645684873,0.3791182430456582,2.147712558100911,1.91805337709935,2,124.4
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,AUDJPY,18,55.55555555555556,4.370675283543306,0.24281529353018363,1.5427352218828227,4.03384344031131,4,94.66666666666667
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,AUDJPY,32,50.0,4.288321594688905,0.13401004983402828,1.274940971345869,7.364703138665937,7,100.46875
H4,VCTX_618_800_STAG_ONLY_RR2,XAUUSD,16,43.75,4.266071974561311,0.26662949841008193,1.571743192970979,4.400678148931785,5,102.1875
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,EURJPY,8,75.0,4.220202374622338,0.5275252968277923,3.868573275994848,1.0055318210437936,1,53.25
