timeframe,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2021,3,100.0,4.308461862533564,1.4361539541778547,inf,0.0,0,54.333333333333336
D1,VCTX_618_800_STAG_ONLY_RR2,2021,3,100.0,4.308461862533564,1.4361539541778547,inf,0.0,0,54.333333333333336
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2022,13,53.84615384615385,4.194861545118142,0.32268165731678017,1.7075129936953053,2.9104128969775864,3,106.61538461538461
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2023,14,57.14285714285714,4.176362721619976,0.29831162297285546,1.6897130393762692,3.0166264836323373,3,122.5
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2021,4,75.0,4.1195117520039854,1.0298779380009964,22.80211348095033,0.0,1,55.75
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2021,4,75.0,4.1195117520039854,1.0298779380009964,22.80211348095033,0.0,1,55.75
H4,VCTX_618_800_REBREAK_ONLY_RR2,2021,26,42.30769230769231,3.8860711615421533,0.14946427544392898,1.2684015243527411,7.961571960770895,4,95.88461538461539
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2021,29,41.37931034482759,3.788900762665044,0.13065175043672567,1.2288792559814652,10.037145219864254,6,89.58620689655173
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2024,25,48.0,3.7768489473301594,0.15107395789320638,1.3025852615069893,6.885646229504815,5,98.8
D1,VCTX_618_800_REBREAK_ONLY_RR2,2023,5,80.0,3.7518958113180227,0.7503791622636046,4.7021364997787485,1.0134407014820355,1,43.2
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2016,9,55.55555555555556,3.6707886364081763,0.40786540404535293,1.9134925820003217,4.018410996146308,4,86.88888888888889
H4,VCTX_618_800_STAG_ONLY_RR2,2016,16,43.75,3.642727073198519,0.22767044207490744,1.4452241775739905,5.059870861880722,5,73.5
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2023,5,80.0,3.268540196852732,0.6537080393705464,4.225191362526573,1.0134407014820355,1,43.2
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2023,6,83.33333333333334,3.2002088515744136,0.5333681419290689,4.157766257951247,1.0134407014820352,1,54.5
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2022,5,80.0,3.1883055919934273,0.6376611183986854,7.846951298376799,0.46565331825118683,1,57.4
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2022,5,80.0,3.1883055919934273,0.6376611183986854,7.846951298376799,0.46565331825118683,1,57.4
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2022,14,50.0,3.1766984400640466,0.2269070314331462,1.4579183545168022,3.9186483285516545,4,101.5
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2022,4,100.0,3.1491600317608546,0.7872900079402136,inf,0.0,0,56.75
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2017,5,80.0,2.919412648856525,0.583882529771305,12.24404819113689,0.25964070939839523,1,54.2
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2021,30,40.0,2.781878165442021,0.09272927218140069,1.1584107601509033,11.044167817087278,6,89.53333333333333
D1,VCTX_618_800_STAG_ONLY_RR2,2017,5,80.0,2.778361863003428,0.5556723726006856,11.700794453385516,0.25964070939839523,1,54.2
D1,VCTX_618_800_STAG_ONLY_RR2,2023,6,83.33333333333334,2.712701501256354,0.452116916876059,3.6767244470143674,1.0134407014820357,1,54.5
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2021,14,42.857142857142854,2.6477946402590495,0.1891281885899321,1.358336986136244,6.26067188540354,6,98.57142857142857
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2018,8,50.0,2.4107847945288716,0.30134809931610895,2.157609069898867,1.0147302851760278,2,139.0
D1,VCTX_618_800_STAG_ONLY_RR2,2024,5,80.0,2.3719653718907896,0.4743930743781579,3.3658986114948783,1.0025642520632267,1,48.0
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2016,25,40.0,2.3572449898808223,0.0942897995952329,1.1631818896135102,9.782421986948782,10,74.68
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2015,2,100.0,2.332672509993472,1.166336254996736,inf,0.0,0,38.0
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2022,4,75.0,2.311643504141686,0.5779108760354215,5.96430158132089,0.46565331825118683,1,56.75
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2022,4,75.0,2.311643504141686,0.5779108760354215,5.96430158132089,0.46565331825118683,1,56.75
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2022,3,100.0,2.2724979439091135,0.7574993146363712,inf,0.0,0,55.666666666666664
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2019,24,41.66666666666667,2.1328867213867726,0.08887028005778219,1.1522513495872655,10.207303478475778,10,90.66666666666667
