symbol,max_entries,basket_id,leg_no,signal_time,entry_time,exit_time,direction,entry,exit_price,basket_sl,basket_tp,sl_dist,pnl_r_clean,pnl_r_after_cost,bars_held,exit_reason,basket_key
XAUUSD,1,40,1,2019-07-18 19:00:00,2019-07-18 20:00:00,2019-07-19 11:00:00,long,1445.848,1436.1680618046964,1436.1680618046964,1474.8878145859105,9.679938195303526,-0.9999999999999994,-1.0361572556496221,14,SL,XAUUSD#1#40
XAUUSD,1,41,1,2019-08-25 22:00:00,2019-08-25 23:00:00,2019-08-26 07:00:00,long,1547.408,1535.444101224253,1535.444101224253,1583.2996963272403,11.963898775746827,-1.0000000000000047,-1.029254677472674,8,SL,XAUUSD#1#41
XAUUSD,1,42,1,2019-09-04 17:00:00,2019-09-04 18:00:00,2019-09-05 01:00:00,long,1555.515,1546.7774017514296,1546.7774017514296,1581.727794745712,8.737598248570592,-0.9999999999999919,-1.0400567741893285,6,SL,XAUUSD#1#42
XAUUSD,1,43,1,2019-11-07 15:00:00,2019-11-07 16:00:00,2019-11-12 15:00:00,short,1469.665,1445.730629974935,1477.6431233416884,1445.730629974935,7.978123341688306,3.000000000000002,2.9561300339678565,68,TP,XAUUSD#1#43
XAUUSD,1,44,1,2019-12-24 01:00:00,2019-12-24 02:00:00,2019-12-24 15:00:00,long,1487.528,1497.5299615895965,1484.1940128034678,1497.5299615895965,3.3339871965321732,2.999999999999987,2.895020592651276,13,TP,XAUUSD#1#44
XAUUSD,1,45,1,2020-02-18 15:00:00,2020-02-18 16:00:00,2020-02-20 12:00:00,long,1600.698,1618.3225954353459,1594.8231348548848,1618.3225954353459,5.874865145115293,2.9999999999999836,2.940424164409758,42,TP,XAUUSD#1#45
XAUUSD,1,46,1,2020-09-21 14:00:00,2020-09-21 15:00:00,2020-09-21 22:00:00,short,1896.638,1913.6018916309956,1913.6018916309956,1845.7463251070126,16.963891630995796,-0.9999999999999946,-1.0206320582336506,6,SL,XAUUSD#1#46
XAUUSD,1,47,1,2020-10-28 14:00:00,2020-10-28 15:00:00,2020-10-28 15:00:00,short,1871.778,1882.026721585135,1882.026721585135,1841.031835244595,10.248721585135044,-0.9999999999999903,-1.0341506008425172,0,SL,XAUUSD#1#47
XAUUSD,1,48,1,2020-11-23 14:00:00,2020-11-23 15:00:00,2020-11-24 11:00:00,short,1841.498,1807.9446875533995,1852.6824374822002,1807.9446875533995,11.184437482200162,3.0000000000000067,2.9687065173767495,19,TP,XAUUSD#1#48
XAUUSD,1,49,1,2020-12-17 13:00:00,2020-12-17 14:00:00,2020-12-21 10:00:00,long,1887.775,1875.604808717636,1875.604808717636,1924.2855738470926,12.170191282364183,-0.999999999999998,-1.028758792025504,42,SL,XAUUSD#1#49
XAUUSD,1,50,1,2021-01-03 23:00:00,2021-01-04 00:00:00,2021-01-04 13:00:00,long,1913.025,1939.802694665277,1904.0991017782412,1939.802694665277,8.925898221758946,3.0000000000000004,2.9607882600378606,13,TP,XAUUSD#1#50
XAUUSD,1,51,1,2021-02-04 14:00:00,2021-02-04 15:00:00,2021-02-05 07:00:00,short,1785.738,1799.511310901729,1799.511310901729,1744.4180672948132,13.77331090172896,-1.0000000000000042,-1.025411464425468,15,SL,XAUUSD#1#51
XAUUSD,1,52,1,2021-06-29 12:00:00,2021-06-29 13:00:00,2021-06-29 16:00:00,short,1754.678,1765.700972345876,1765.700972345876,1721.6090829623727,11.022972345875832,-0.9999999999999983,-1.0317518713662626,3,SL,XAUUSD#1#52
XAUUSD,1,53,1,2021-08-06 12:00:00,2021-08-06 13:00:00,2021-08-08 22:00:00,short,1776.348,1748.400700586191,1785.6637664712696,1748.400700586191,9.31576647126965,2.999999999999992,2.9624292857619787,8,TP,XAUUSD#1#53
XAUUSD,1,54,1,2021-09-16 11:00:00,2021-09-16 12:00:00,2021-09-16 13:00:00,short,1771.207,1747.2856340160565,1779.1807886613146,1747.2856340160565,7.973788661314537,2.999999999999997,2.9561061855453716,1,TP,XAUUSD#1#54
XAUUSD,1,55,1,2021-10-22 12:00:00,2021-10-22 13:00:00,2021-10-22 15:00:00,long,1805.728,1797.2599975013318,1797.2599975013318,1831.1320074960054,8.468002498668397,-0.9999999999999866,-1.0413320614932577,2,SL,XAUUSD#1#55
XAUUSD,1,56,1,2021-11-05 16:00:00,2021-11-05 17:00:00,2021-11-10 13:00:00,long,1813.898,1846.7543322030072,1802.9458892656642,1846.7543322030072,10.95211073433573,3.000000000000005,2.968042689807472,64,TP,XAUUSD#1#56
XAUUSD,1,57,1,2022-01-19 15:00:00,2022-01-19 16:00:00,2022-01-21 08:00:00,long,1838.168,1829.5146765787274,1829.5146765787274,1864.1279702638171,8.653323421272429,-1.0000000000000069,-1.0404468876246775,38,SL,XAUUSD#1#57
XAUUSD,1,58,1,2022-02-11 18:00:00,2022-02-11 19:00:00,2022-02-15 12:00:00,long,1857.108,1846.356660410045,1846.356660410045,1889.3620187698648,10.751339589954961,-1.0000000000000058,-1.0325540828723525,39,SL,XAUUSD#1#58
XAUUSD,1,59,1,2022-03-06 23:00:00,2022-03-07 00:00:00,2022-03-07 13:00:00,long,1988.608,1972.6337282991042,1972.6337282991042,2036.5308151026875,15.974271700895867,-0.9999999999999939,-1.0219102320627493,13,SL,XAUUSD#1#59
XAUUSD,1,60,1,2022-05-10 14:00:00,2022-05-10 15:00:00,2022-05-12 22:00:00,short,1849.802,1812.6907947504537,1862.1724017498486,1812.6907947504537,12.370401749848753,2.999999999999993,2.971706658597042,52,TP,XAUUSD#1#60
XAUUSD,1,61,1,2022-06-14 18:00:00,2022-06-14 19:00:00,2022-06-15 02:00:00,short,1807.156,1818.1379770571402,1818.1379770571402,1774.2100688285789,10.981977057140373,-0.9999999999999919,-1.0318703998541392,6,SL,XAUUSD#1#61
XAUUSD,1,62,1,2022-09-15 04:00:00,2022-09-15 05:00:00,2022-09-15 14:00:00,short,1687.314,1665.7326179982365,1694.5077940005879,1665.7326179982365,7.193794000587889,2.9999999999999885,2.951346952668979,9,TP,XAUUSD#1#62
XAUUSD,1,63,1,2022-11-08 15:00:00,2022-11-08 16:00:00,2022-11-10 15:00:00,long,1712.907,1750.1984196458952,1700.4765267847015,1750.1984196458952,12.430473215298397,3.000000000000009,2.971843388909018,45,TP,XAUUSD#1#63
XAUUSD,1,64,1,2022-12-01 13:00:00,2022-12-01 14:00:00,2022-12-02 13:00:00,long,1789.187,1779.2128877008577,1779.2128877008577,1819.1093368974266,9.974112299142236,-0.9999999999999998,-1.0350908421223846,22,SL,XAUUSD#1#64
XAUUSD,1,65,1,2022-12-13 13:00:00,2022-12-13 14:00:00,2022-12-14 19:00:00,long,1810.858,1800.9049387190346,1800.9049387190346,1840.717183842896,9.953061280965368,-0.9999999999999989,-1.0351650602884843,28,SL,XAUUSD#1#65
XAUUSD,1,66,1,2022-12-27 15:00:00,2022-12-27 16:00:00,2022-12-27 17:00:00,long,1824.525,1814.4711874723812,1814.4711874723812,1854.686437582857,10.053812527618975,-0.9999999999999928,-1.0348126642543387,1,SL,XAUUSD#1#66
XAUUSD,1,67,1,2023-04-04 14:00:00,2023-04-04 15:00:00,2023-04-06 13:00:00,long,2016.035,2002.6359012133996,2002.6359012133996,2056.2322963598017,13.399098786600476,-0.9999999999999989,-1.0261211597566646,44,SL,XAUUSD#1#67
XAUUSD,1,68,1,2023-05-03 22:00:00,2023-05-03 23:00:00,2023-05-04 06:00:00,long,2056.454,2037.7058406104497,2037.7058406104497,2112.698478168652,18.74815938955052,-0.9999999999999957,-1.018668499276528,7,SL,XAUUSD#1#68
XAUUSD,1,69,1,2023-05-18 12:00:00,2023-05-18 13:00:00,2023-05-19 15:00:00,short,1966.878,1974.7364007249291,1974.7364007249291,1943.3027978252123,7.858400724929164,-1.0000000000000042,-1.0445383243043163,25,SL,XAUUSD#1#69
XAUUSD,1,70,1,2023-11-27 01:00:00,2023-11-27 02:00:00,2023-11-28 16:00:00,long,2011.965,2035.2772699675634,2004.1942433441454,2035.2772699675634,7.770756655854496,2.9999999999999956,2.95495934109113,37,TP,XAUUSD#1#70
XAUUSD,1,71,1,2024-02-13 14:00:00,2024-02-13 15:00:00,2024-02-15 14:00:00,short,1995.645,2005.8616777701372,2005.8616777701372,1964.9949666895882,10.216677770137277,-0.999999999999999,-1.0342577115452496,45,SL,XAUUSD#1#71
XAUUSD,1,72,1,2024-06-07 13:00:00,2024-06-07 14:00:00,2024-06-12 12:00:00,short,2309.415,2330.530863270963,2330.530863270963,2246.0674101871105,21.115863270963228,-0.9999999999999901,-1.0165752162489605,67,SL,XAUUSD#1#72
