symbol,denial_name,denial_family,d1_signal_time,context_start,fail_bars,denial_level,atr,body_ratio,close_location,rsi14
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2020-05-08,2020-05-09,2,131.88,1.2324653333805116,0.6216216216216278,0.6666666666666837,45.09811175644266
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2020-05-18,2020-05-19,1,129.6,1.2273740439202667,0.7848837209302297,0.7906976744185966,42.985102028063146
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2020-09-24,2020-09-25,3,134.33,1.1656651267975828,0.5686274509803708,0.8333333333333194,33.03535817869415
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2020-09-24,2020-09-25,3,30.0,1.1656651267975828,0.5686274509803708,0.8333333333333194,33.03535817869415
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2021-06-21,2021-06-22,2,153.12,0.9160564844920654,0.4979591836734655,0.8163265306122393,43.00752951122852
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2021-07-09,2021-07-10,1,151.29,1.0023079207640715,0.9583333333333414,0.9895833333333427,47.27604532236681
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2021-07-09,2021-07-10,1,151.28,1.0023079207640715,0.9583333333333414,0.9895833333333427,47.27604532236681
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2021-07-21,2021-07-22,2,150.65,1.1384517359896422,0.5833333333333264,0.8039215686274501,39.805688731809454
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2021-07-21,2021-07-22,2,150.65,1.1384517359896422,0.5833333333333264,0.8039215686274501,39.805688731809454
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2021-07-21,2021-07-22,2,30.0,1.1384517359896422,0.5833333333333264,0.8039215686274501,39.805688731809454
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2021-08-18,2021-08-19,1,150.92,0.7683725628756343,0.6588235294117718,0.764705882352953,40.566593290625235
