context_name,v_strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D20_D55_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,17,29.411764705882355,-5.440103465956835,-0.32000608623275495,0.5282307755079806,5.027006607441307,5,107.58823529411765
D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,17,29.411764705882355,-5.440103465956835,-0.32000608623275495,0.5282307755079806,5.027006607441307,5,107.58823529411765
RSIQ_15D,RS120_RECLAIM_RR15,14,28.57142857142857,-5.576460641850586,-0.39831861727504186,0.44680226899656134,5.566347099290408,5,99.5
D20Q_15D,RS120_RECLAIM_RR15,21,28.57142857142857,-7.062108595966451,-0.3362908855222119,0.5177214557375137,6.058522511995384,6,84.04761904761905
D20Q_10D,RS120_RECLAIM_RR15,17,23.52941176470588,-8.014418310762851,-0.4714363712213442,0.36567203418870114,7.010832226791784,6,80.88235294117646
D20Q_20D,RS120_RECLAIM_RR15,27,29.629629629629626,-8.198121600478524,-0.30363413335105643,0.5613314493223736,8.696766946054112,8,83.14814814814815
D20_D55_OR_RSI_10D,RS120_RECLAIM_RR15,20,25.0,-9.604532007226402,-0.4802266003613201,0.3444256583999663,9.021659313456597,6,87.4
D20_OR_RSI_10D,RS120_RECLAIM_RR15,20,25.0,-9.604532007226402,-0.4802266003613201,0.3444256583999663,9.021659313456597,6,87.4
D20_D55_OR_RSI_15D,RS120_RECLAIM_RR15,26,26.923076923076923,-10.661527618080589,-0.4100587545415611,0.4289052514905725,10.084150067221227,7,91.73076923076923
D20_OR_RSI_15D,RS120_RECLAIM_RR15,26,26.923076923076923,-10.661527618080589,-0.4100587545415611,0.4289052514905725,10.084150067221227,7,91.73076923076923
