context_name,v_strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_30D,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
AVOID_D20_OR_RSI_5D,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
BASELINE_NO_D1_CONTEXT,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
AVOID_D20_OR_RSI_30D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,35,48.57142857142857,4.448915197964372,0.12711186279898207,1.2516193684967163,5.074142290900922,5,71.11428571428571
D20_D55_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,43,48.837209302325576,4.010639790334732,0.09327069279848214,1.1983034834069652,7.531460312204533,6,100.72093023255815
D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,43,48.837209302325576,4.010639790334732,0.09327069279848214,1.1983034834069652,7.531460312204533,6,100.72093023255815
D20Q_20D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,4,75.0,3.4429805487942406,0.8607451371985602,4.358848583982478,1.025047858725447,1,72.25
RSIQ_5D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,7,71.42857142857143,3.022204269270322,0.43174346703861743,3.6914770444085807,1.122879452213353,2,152.14285714285714
D20Q_15D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,2,100.0,2.963166023769057,1.4815830118845286,inf,0.0,0,72.0
D20_D55_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,2,100.0,2.963166023769057,1.4815830118845286,inf,0.0,0,72.0
D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,2,100.0,2.963166023769057,1.4815830118845286,inf,0.0,0,72.0
RSIQ_15D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,18,50.0,1.9093599952458598,0.10607555529143665,1.233435654388391,4.136604812737278,5,115.5
D20Q_5D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,11,54.54545454545454,1.614890603369565,0.14680823666996046,1.3580864918497648,2.046867234625335,2,118.0909090909091
RSIQ_5D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,4,75.0,1.5909687747007888,0.3977421936751972,2.5795313836965814,1.0072410026937484,1,135.0
RSIQ_15D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,1,100.0,1.4811836416273967,1.4811836416273967,inf,0.0,0,69.0
D20_D55_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,32,46.875,1.4351134289358711,0.04484729465424597,1.0944355434200876,7.671908999298484,6,103.0
D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,32,46.875,1.4351134289358711,0.04484729465424597,1.0944355434200876,7.671908999298484,6,103.0
D20Q_15D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,25,48.0,0.9718868250790331,0.038875473003161326,1.0772695830695895,4.053317380789273,4,98.04
D20Q_10D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,29,44.827586206896555,0.9458174806735964,0.032614395885296424,1.066656106369393,6.664667996604736,5,96.13793103448276
D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,13,53.84615384615385,0.6087472575806656,0.04682671212158966,1.1103398866343437,3.038218284037567,3,126.3076923076923
D20_OR_RSI_5D,RS120_RECLAIM_RR15,OOS_2025_2026,1,100.0,0.4259449306162707,0.4259449306162707,inf,0.0,0,180.0
RSIQ_10D,RS120_RECLAIM_RR15,OOS_2025_2026,1,100.0,0.4259449306162707,0.4259449306162707,inf,0.0,0,180.0
RSIQ_15D,RS120_RECLAIM_RR15,OOS_2025_2026,1,100.0,0.4259449306162707,0.4259449306162707,inf,0.0,0,180.0
RSIQ_5D,RS120_RECLAIM_RR15,OOS_2025_2026,1,100.0,0.4259449306162707,0.4259449306162707,inf,0.0,0,180.0
D20Q_20D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,31,45.16129032258064,-0.173062191745448,-0.005582651346627355,0.9895947742899072,3.6606806993915306,3,92.0
RSIQ_5D,RS120_RECLAIM_RR15,Research_2015_2024,6,50.0,-0.4280899683549404,-0.07134832805915674,0.8585434344511959,2.019058743055729,2,102.0
RSIQ_10D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,13,46.15384615384615,-0.5333126014396994,-0.04102404626459226,0.913564708292082,4.678396322923374,4,122.61538461538461
