filter,research_events,research_wr,research_pf,research_avg_r,research_total_r,oos_events,oos_wr,oos_pf,oos_avg_r,oos_total_r,score
long + w3<=1.3 + w4<=0.5 + preATR<=5,58,34.48275862068966,1.4232671155814414,0.22888943082893093,13.275586988077993,12,33.33333333333333,1.1733702094750793,0.10113262219379626,1.2135914663255551,2.926659378079248
long + w3<=1.3 + w4<=0.5,66,33.33333333333333,1.3667686064825797,0.19964342439174051,13.176466009854874,12,33.33333333333333,1.1733702094750793,0.10113262219379626,1.2135914663255551,2.8409148625431957
long + sym=XAU/EUR/USD + early<=0.05 + preATR>=3,65,35.38461538461539,1.748770414129463,0.35872297500773304,23.316993375502648,11,18.181818181818183,1.1669518033697568,0.0910646200198673,1.0017108202185403,3.3655098125268204
long + sym=XAU/EUR/USD + w4<=0.5 + early<=0.05,69,36.231884057971016,1.671694359798388,0.3351020996574903,23.122044876366832,11,18.181818181818183,1.1669518033697568,0.0910646200198673,1.0017108202185403,3.264812882845502
tf=H1 + sym=XAU/EUR/USD + early<=0.05,95,28.421052631578945,1.211417656974506,0.1170894144123135,11.123494369169784,11,18.181818181818183,1.1669518033697568,0.09106462001986726,1.0017108202185399,2.5865234947764435
tf=H1 + sym=XAU/EUR/USD + early<=0.05 + preATR>=3,88,25.0,1.0617122606836775,0.035494254195111166,3.1234943691697827,11,18.181818181818183,1.1669518033697568,0.09106462001986726,1.0017108202185399,2.3552229382684127
long + sym=XAU/EUR/USD + w4<=0.5 + preATR>=3,117,30.76923076923077,1.4155043666259732,0.21518222748696436,25.17632061597483,19,21.052631578947366,1.1569852111728018,0.0826237953541062,1.569852111728018,2.8702956006398455
tf=H4 + w4<=0.5 + preATR>=3 + preATR<=5,66,25.757575757575758,1.007108924466344,0.004375103998210694,0.2887568638819058,15,26.666666666666668,1.1460826227098455,0.08113843369917959,1.2170765054876937,2.238705084873579
long + w3<=1.2 + preATR<=5,63,38.095238095238095,1.8741706855744655,0.4124220650785528,25.982590099948826,11,36.36363636363637,1.1428571428571428,0.09090909090909091,1.0,3.5203589844192518
long + w3<=1.2 + w3<=1.3 + preATR<=5,63,38.095238095238095,1.8741706855744655,0.4124220650785528,25.982590099948826,11,36.36363636363637,1.1428571428571428,0.09090909090909091,1.0,3.5203589844192518
