symbol,side,signal_dt,r_clean,r_after_cost,exit_reason,year,period,group
EURJPY,short,2019-02-19 08:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
EURJPY,short,2019-06-30 20:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
EURJPY,short,2019-09-05 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
EURJPY,short,2019-10-10 00:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
EURJPY,short,2019-10-17 08:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
EURJPY,short,2020-02-05 08:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
EURJPY,short,2020-07-06 12:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
EURJPY,short,2020-08-06 04:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
EURJPY,short,2020-11-03 20:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
EURJPY,short,2020-11-30 12:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
