timeframe,family,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
H4,EMA50クロス否定,EMA50_CROSS_FAIL_6_Q,OOS_2025_2026,339,38.05309734513274,-28.18571937613941,-0.08314371497386257,0.8696028309928567,44.6345561422427,9,3.696165191740413,0.05233155365653862,0.28911697969667755,0.5800566181786031,-0.18108883694210307,2.642150296368983,-2.043662366739455,47.1976401179941
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6_Q,Research_2015_2024,546,38.095238095238095,-29.102639174962484,-0.05330153695048074,0.9162989915506013,49.977731395372935,11,3.772893772893773,-0.06442718879592395,0.06500943664305633,0.10952096333539496,0.19651205889493037,2.1680237167018563,-2.1085117537034184,45.23809523809524
D1,Bollinger外側否定,BB_OUTER_REJECT_6_Q,Research_2015_2024,561,38.859180035650624,-31.63247238985751,-0.0563858687876248,0.9099263784955318,60.49467877471896,23,3.4670231729055256,-0.044214118288994624,-0.02175322360152107,0.0941192372984681,0.1272583134082315,2.265441100037124,-2.3187038217976412,49.19786096256685
D1,Bollinger外側否定,BB_OUTER_REJECT_3,Research_2015_2024,1192,40.100671140939596,-38.894573497859675,-0.03262967575323798,0.9468138597164274,84.09361352627484,15,3.286073825503356,-0.02389105502805463,0.03909002697696635,0.1287037969617646,0.26107421688628857,2.3299964034942326,-2.339664492580234,48.8255033557047
D1,Bollinger外側否定,BB_OUTER_REJECT_6,Research_2015_2024,1201,39.966694421315566,-43.342437605969714,-0.03608862415151517,0.9413211917872168,86.1308529264042,15,3.293089092422981,-0.023167879875132275,0.037888372646593754,0.1331959476300862,0.2651698273098064,2.3323922151227685,-2.3356455395002245,48.79267277268943
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,Research_2015_2024,1968,41.81910569105691,-43.75649003925497,-0.022233988841084844,0.9641928424398158,101.19471972350442,18,3.5594512195121952,0.05486510033560863,-0.02394619564625523,-0.0174064105115499,0.03424234372003851,2.249765099534433,-2.210924737557415,49.33943089430895
D1,Bollinger外側否定,BB_OUTER_REJECT_12,Research_2015_2024,1205,39.91701244813278,-45.10067012817906,-0.037427942015086355,0.9392055466395947,86.1308529264042,15,3.287136929460581,-0.024813461310396065,0.03186419021821546,0.12911094672790635,0.26043979649864013,2.3289154821512277,-2.341237786281377,48.71369294605809
H4,EMA50クロス否定,EMA50_CROSS_FAIL_6,OOS_2025_2026,482,36.30705394190871,-61.19654559396738,-0.12696378753935142,0.8060651378160294,78.10334084745882,18,3.8215767634854774,0.03753229080860732,0.16109978142280648,0.41784275878906496,-0.09274754179602582,2.5255983312963743,-2.0519281929544615,45.43568464730291
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6,Research_2015_2024,747,36.94779116465863,-71.4878454933851,-0.09569992703264403,0.8524561725003317,88.76722463011204,9,3.6680053547523426,-0.10696233797229501,-0.01935880877831076,-0.01312919335523091,-0.006344511689775958,2.1005042175562227,-2.171267498048223,46.4524765729585
H4,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,Research_2015_2024,1250,38.4,-132.79643967965015,-0.10623715174372012,0.8384095767998727,167.42647341147213,13,3.6112,-0.031162001266819492,-0.03774015082964146,-0.04337087899751173,0.08001680744052239,2.1199826957048122,-2.1618068189975013,46.800000000000004
