signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
50558,2022-02-21 08:00:00,9,0.14433843536368524,51.68633956281854,0.5225581000686649,1.544980028625865,0.25112107623317326,0.19045532715228422,-0.07161767519795524,0.08455252818822048,failed_sweep,short,48,1.6142616442592492,1.9675978839898431,0.048497130943349225,0.6905829596412425,0.9417040358744158,False,True,True,H4逆,125.189,999.0,50559,2022-02-21 09:00:00,124.977,125.21065076530455,124.79007938775636,0.23365076530454587,1.6187702514290323,50560,2022-02-21 10:00:00,125.21065076530455,SL,1,-1.085597836471632,IS_2014_2024,2022
50893,2022-03-11 07:00:00,8,0.17294132723109773,68.36492541176203,1.8709420348039079,1.1564615768950772,0.11499999999997904,1.9557751562027517,0.2723645635783831,0.0803815752107963,failed_sweep,short,48,3.6023778120281413,4.57958784450445,0.8268700274799724,0.7800000000000185,0.7800000000000185,False,True,True,H4逆,125.596,999.0,50894,2022-03-11 08:00:00,125.439,125.62194119908467,125.29264704073225,0.18294119908468076,1.0578223378627158,50895,2022-03-11 09:00:00,125.62194119908467,SL,1,-1.1093247453284294,IS_2014_2024,2022
54467,2022-10-06 07:00:00,8,0.23375882589213987,68.4651389929275,1.706439945245179,1.2662623491127558,0.17567567567573406,1.4079881089416364,0.6278502435304091,0.17938363078473915,failed_sweep,short,48,1.9079493503521858,3.439442326643875,0.6331311745563171,0.824324324324266,0.824324324324266,False,True,True,H4逆,147.805,999.0,54468,2022-10-06 08:00:00,147.561,147.84006382388384,147.33774894089294,0.2790638238838312,1.193810855349675,54468,2022-10-06 08:00:00,147.33774894089294,TP,0,0.7283318069621889,IS_2014_2024,2022
56477,2023-02-01 07:00:00,8,0.23815181670978533,66.92529813355706,0.8543012403591701,1.3268846921503181,0.04746835443042614,1.7744381892894305,1.0277249550894045,0.30263842284823483,failed_sweep,short,48,2.620177366777922,1.2261086395819365,0.751621392072493,0.7531645569620179,0.7531645569620179,False,True,True,H4逆,142.443,999.0,56478,2023-02-01 08:00:00,142.204,142.47872277250647,141.98422178199485,0.2747227725064647,1.153561523493416,56478,2023-02-01 08:00:00,141.98422178199485,TP,0,0.7271993369260186,IS_2014_2024,2023
56892,2023-02-24 14:00:00,15,0.2845067401598744,67.65759643139583,2.075584343142131,1.2442587469142554,0.12711864406784695,1.695569439163138,-0.8675734332463018,0.20231935132569595,failed_sweep,short,48,3.328567890756647,3.7187168198738103,0.28821812781628625,0.8022598870056606,0.8022598870056606,False,True,True,H4逆,145.321,999.0,56893,2023-02-24 15:00:00,145.037,145.36367601102398,144.77565919118084,0.32667601102397725,1.1482188817052503,56902,2023-02-27 00:00:00,144.77565919118084,TP,9,0.7387772614912785,IS_2014_2024,2023
60311,2023-09-13 01:00:00,2,0.1784668537557676,68.24098261639,1.646308906109009,1.1094497147965787,0.07575757575751486,1.6273805543800972,-0.15903948047122654,-0.19762011628173026,failed_sweep,short,48,2.1684698971026353,3.109821170263345,0.7004101734827626,0.8282828282828515,0.9040404040403663,True,False,True,H4順,165.414,999.0,60312,2023-09-13 02:00:00,165.234,165.44077002806335,165.06858397754934,0.206770028063346,1.1585906498150709,60316,2023-09-13 06:00:00,165.06858397754934,TP,4,0.7032741824948618,IS_2014_2024,2023
62718,2024-02-02 09:00:00,10,0.22620561995610142,73.37888567455583,1.7180844638524746,1.118451433917127,0.19367588932807833,2.4051801286564607,-0.2230293048906251,0.08717356073109567,failed_sweep,short,48,2.997273012631487,3.6515449976897987,0.2917699392827233,0.7826086956521593,0.7826086956521593,False,True,True,H4逆,171.484,999.0,62719,2024-02-02 10:00:00,171.291,171.51793084299342,171.10945532560527,0.22693084299342559,1.0032060345691893,62722,2024-02-02 13:00:00,171.10945532560527,TP,3,0.711867422972678,IS_2014_2024,2024
63031,2024-02-21 10:00:00,11,0.14995303790362582,58.445297525317514,1.2494501571934193,1.6605198766298184,0.29317269076308794,0.7316756480956075,0.03152265791155852,-0.0553791471962022,failed_sweep,short,48,2.2607077838454495,3.941233924049217,0.8069192974788247,0.6546184738956388,0.9477911646587267,False,False,True,H4中立,170.65,999.0,63032,2024-02-21 11:00:00,170.415,170.67249295568556,170.20900563545155,0.25749295568556363,1.7171573132853317,63035,2024-02-21 14:00:00,170.67249295568556,SL,3,-1.0776720277521095,IS_2014_2024,2024
64547,2024-05-20 14:00:00,15,0.1998514594249207,63.666883487032834,2.2943443400557997,1.4911074497904937,0.14093959731544073,1.584572755466839,-0.5683800232462181,0.12017885701187855,failed_sweep,short,48,3.3675010527147613,3.1823635505595362,0.5554125064656753,0.6644295302013634,0.8053691275168041,False,True,True,H4逆,171.954,999.0,64548,2024-05-20 15:00:00,171.713,171.98397771891374,171.496217824869,0.27097771891374123,1.3558956221460117,64554,2024-05-20 21:00:00,171.496217824869,TP,6,0.7261931937424199,IS_2014_2024,2024
68041,2024-12-10 08:00:00,9,0.2734863066144068,63.14961744244152,0.7174782278741907,1.4296876682431818,0.30434782608696287,1.0075390149751924,2.270516211644427,0.11404083865276073,failed_sweep,short,48,1.8209321196550052,2.0878559042631006,0.5484735300165992,0.5524296675192151,0.8567774936061779,False,True,True,H4逆,172.624,999.0,68042,2024-12-10 09:00:00,172.289,172.66502294599215,171.98818164320625,0.3760229459921618,1.3749242170370277,68054,2024-12-10 21:00:00,172.083,TIME,12,0.4946506642280395,IS_2014_2024,2024
75657,2026-03-06 15:00:00,16,0.2855141309252835,58.9981324053824,1.2104326334755457,1.9333543954938117,0.22101449275365173,0.7497816986299509,0.3575563964504006,0.3266391010737792,failed_sweep,short,48,2.591815675118583,2.6758745618791875,0.823076599530939,0.60507246376813,0.8260869565217817,False,True,True,H4逆,202.584,999.0,75658,2026-03-06 16:00:00,202.126,202.6268271196388,201.72533830428898,0.5008271196387852,1.754123755681456,75658,2026-03-06 16:00:00,202.6268271196388,SL,0,-1.0399339397083898,OOS_2025_2026,2026
76740,2026-05-08 19:00:00,20,0.18357584821804238,69.37953244721032,1.5625452656413197,1.2365461045310515,0.21585903083702979,1.750436296399591,0.6110359381432774,-0.24343297543203649,failed_sweep,short,48,3.045062874153493,3.5080867458942304,0.3050510213821676,0.5859030837004736,0.8017621145375033,False,False,True,H4中立,201.906,999.0,76741,2026-05-08 20:00:00,201.723,201.9335363772327,201.55457089821385,0.21053637723269958,1.1468631591593401,76742,2026-05-10 21:00:00,201.55457089821385,TP,1,0.7050045400093666,OOS_2025_2026,2026
76974,2026-05-22 13:00:00,14,0.183916656706783,62.5014466446692,1.5512728676859016,1.1146353118349825,0.0048780487805107995,1.1382650795866602,0.7374405984078126,0.2102573661754677,failed_sweep,short,48,1.2451292020010263,2.7131854663688637,0.5491617877820749,0.9414634146341477,0.9414634146341477,False,True,True,H4逆,202.614,999.0,76975,2026-05-22 14:00:00,202.418,202.64158749850603,202.23913000119518,0.22358749850602067,1.2157001030226675,76975,2026-05-22 14:00:00,202.23913000119518,TP,0,0.7105495605362216,OOS_2025_2026,2026
