extra_groups,bb_lo,bb_hi,slope_min,macd_hist_pos,body_min,close_min,adx_mode,rsi_mode,width_mode,trigger_mode,positive_symbols,positive_years,positive_windows,worst_window_total_r,all_trades,all_win_rate,all_total_r,all_avg_r,all_median_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_median_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_median_r,test_pf,test_max_dd_r,test_max_losing_streak,score
width,0.7,1.0,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,5.0182997073070394,106,54.71698113207547,59.18006439576266,0.5583024942996477,0.8059126783475301,2.414185186496188,5.735031024066212,7,65,47.69230769230769,25.588576877926357,0.39367041350655935,-0.1439193090001583,1.854352781827922,5.735031024066212,7,41,65.85365853658537,33.5914875178363,0.8193045736057634,1.9745949551370592,3.8236131777946154,4.041195463981398,4,120.34534862243437
width,0.75,1.05,-0.02,True,,,none,none,bb_width_3_7,all,6,10,5,3.9130363041962313,138,51.449275362318836,61.01277976137676,0.44212159247374466,0.15326351032857716,2.014583689871791,5.5974827121377855,5,80,46.25,22.928724018467758,0.286609050230847,-0.2119446889996599,1.6018858867510568,5.5974827121377855,5,58,58.620689655172406,38.084055742909015,0.6566216507398106,1.26594279959865,2.727875223169051,4.030301257788768,4,120.17944298998194
width,0.7,1.05,-0.02,True,,,none,none,bb_width_2_5_7,all,6,9,5,4.004048443617508,149,51.006711409395976,63.05447799713835,0.42318441608817686,0.1211936612468755,1.951847642247111,6.608427196799084,5,86,46.51162790697674,24.01716887259295,0.27926940549526685,-0.2119446889996599,1.5832864323915945,6.608427196799084,5,63,57.14285714285714,39.03730912454541,0.6196398273737367,0.8830285519156242,2.5572133290526433,5.26582738251661,4,120.01563276522336
close,0.75,1.25,-0.02,True,,0.75,none,none,none,all,7,9,5,2.735425907185008,188,51.06382978723404,64.44561775318176,0.342795839112669,0.10039284536717011,1.755600867376769,8.470621381557114,8,117,46.15384615384615,22.792261167553292,0.194805651004729,-0.2883405508644905,1.3948365748853422,8.470621381557114,8,71,59.154929577464785,41.65335658562848,0.5866669941637814,0.8449906401700296,2.5111097890046183,6.266056320767559,5,119.7880502006565
width,0.75,1.0,0.0,True,,,none,none,bb_width_2_5_7,all,7,10,5,2.5885467177207198,93,54.83870967741935,54.32573087602759,0.5841476438282537,0.8449906401700296,2.521274759526929,4.681046795309928,6,55,45.45454545454545,19.50721335643223,0.354676606480586,-0.2799700689991615,1.7551791422146819,4.681046795309928,6,38,68.42105263157895,34.81851751959537,0.916276776831457,1.9777523033255358,4.524346985456032,2.029065903389963,2,119.71390374729118
,0.75,1.05,0.0,False,,,none,none,none,all,7,9,5,0.9044226465874903,134,52.23880597014925,63.24720495385926,0.47199406681984524,0.2794096295403485,2.0918000021851855,9.78433555066579,11,78,44.871794871794876,22.674287090146777,0.2906959883352151,-0.31230469546038286,1.5803251624400985,9.78433555066579,11,56,62.5,40.57291786371249,0.7245163904234373,1.26594279959865,3.1515417841824624,5.223044775992,3,119.66286339932572
rsi,0.75,1.05,0.0,False,,,none,rsi_le_72,none,all,7,9,5,3.205464931759151,126,52.38095238095239,61.18722819945012,0.48561292221785807,0.2794096295403485,2.120180026403408,8.467493030876838,9,73,45.20547945205479,21.873486075203846,0.29963679555073763,-0.3362688400562753,1.5948626182638554,8.467493030876838,9,53,62.264150943396224,39.313742124246275,0.7417687193254014,1.648857047281676,3.202201050641315,6.956130874239245,5,119.57302038037486
width,0.7,1.05,0.0,True,,,none,none,bb_width_2_5_7,all,7,8,5,1.672930674634763,120,52.5,58.87034029495169,0.4905861691245974,0.2794096295403485,2.1567523540516027,6.721549420767431,8,68,44.11764705882353,17.708469900754316,0.2604186750110929,-0.31230469546038286,1.5216662477697964,6.721549420767431,8,52,63.46153846153846,41.161870394197365,0.7915744306576417,1.853840526692152,3.428887246125863,4.215493691786024,3,119.53243205760243
width,0.7,1.05,0.0,True,,,none,none,bb_width_le_7,all,7,8,5,2.976366169956579,123,52.03252032520326,59.12516877955263,0.4806924291020539,0.1853333594102788,2.1163934763237164,6.72154942076743,8,71,43.66197183098591,17.963298385355266,0.25300420261063755,-0.3362688400562753,1.4987856038199163,6.72154942076743,8,52,63.46153846153846,41.161870394197365,0.7915744306576417,1.853840526692152,3.428887246125863,4.215493691786024,3,119.46496549306697
width,0.75,1.05,-0.02,True,,,none,none,bb_width_ge_2_5,all,6,8,5,4.883838436070391,153,50.98039215686274,64.27415547977071,0.4200925194756256,0.1211936612468755,1.9516726704161866,7.611886041972982,5,89,46.06741573033708,24.593152100730805,0.27632755169360457,-0.2799700689991615,1.57755595094325,7.611886041972982,5,64,57.8125,39.6810033790399,0.6200156777974984,0.8640095960428269,2.589995801838895,5.26371103497084,5,119.43931976780665
