sample,timeframe,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
OOS_2025_2026,M15,basic_role,fixed_1_5R,206,47.57281553398058,19.08733406818635,0.09265696149605025,1.193063485404697,7.798866546580864,7,1.500000000000001,1.5,57.79611650485437,33.49514563106796
IS_2014_2024,M15,context,fixed_2R,445,40.0,17.278952019178618,0.038829105661075544,1.0712214546044165,28.338067866601133,10,2.0,2.0,61.26516853932584,24.49438202247191
IS_2014_2024,H4,context,fixed_2R,51,56.86274509803921,12.78659745809047,0.25071759721746023,1.5954037698771202,4.3819143980365105,4,2.0,2.0,34.76470588235294,21.568627450980394
OOS_2025_2026,M5,observe_loose,fixed_1_5R,660,45.0,11.552832577233591,0.01750429178368726,1.0349211800436522,23.953496235025916,10,1.5000000000000009,1.5,71.36666666666666,30.909090909090907
OOS_2025_2026,M15,basic_role,fixed_2R,196,43.36734693877551,10.865187947164994,0.055434632383494865,1.1070344416442992,12.541143804447724,7,2.0,2.0,66.58163265306122,21.428571428571427
OOS_2025_2026,M30,diag_break,fixed_2R,64,45.3125,9.930706447346164,0.15516728823978382,1.321253286642913,6.657707500473693,6,2.0,2.0,55.734375,21.875
IS_2014_2024,M15,context,fixed_1_5R,454,44.27312775330397,9.92542974895616,0.02186218006378009,1.0431218702966716,23.648513472896944,10,1.5,1.5,55.4625550660793,31.497797356828194
IS_2014_2024,H1,context,fixed_1_5R,191,45.0261780104712,9.88640508675839,0.0517612831767455,1.101066407610348,16.094080267228946,7,1.5000000000000007,1.5,40.59162303664922,35.07853403141361
IS_2014_2024,M5,diag_break,half_wave,58,51.724137931034484,9.734442241444867,0.16783521105939425,1.3169035377532283,7.651723467298779,4,1.672634611484018,1.3695154116902541,35.724137931034484,50.0
IS_2014_2024,H4,context,fixed_1_5R,52,55.769230769230774,9.49492967598455,0.18259480146124132,1.4224126137015354,4.981957758419583,4,1.500000000000002,1.5,28.75,34.61538461538461
IS_2014_2024,M5,context,half_wave,28,57.14285714285714,8.895305421297,0.3176894793320357,1.7085912114109132,4.3908619597137575,3,1.7815523831363034,1.4769751444586858,40.035714285714285,53.57142857142857
IS_2014_2024,H4,diag_break,fixed_2R,108,47.22222222222222,8.287977950707218,0.07674053658062238,1.148394372126644,9.998522767378686,6,2.0,2.0,30.685185185185187,20.37037037037037
IS_2014_2024,H4,diag_break,fixed_1_5R,111,49.549549549549546,8.019319365949993,0.0722461204139639,1.1440668100191946,8.432365170171895,6,1.5000000000000007,1.5,26.126126126126128,33.33333333333333
IS_2014_2024,M5,context,fixed_1_5R,958,44.363256784968684,7.490513982417371,0.007818908123608947,1.0150519617087088,26.643950808033143,9,1.5000000000000004,1.5,67.82567849686848,33.08977035490606
OOS_2025_2026,M30,basic_role,fixed_1_5R,127,46.45669291338583,6.728665208456473,0.0529816158146179,1.1123927890694671,11.527071068903748,9,1.5000000000000004,1.5,51.37795275590551,29.92125984251969
IS_2014_2024,H4,strict_synapse,fixed_1_5R,11,72.72727272727273,6.659534720950357,0.6054122473591234,3.2050635219892394,1.0114285612991925,2,1.5000000000000027,1.5,38.54545454545455,45.45454545454545
OOS_2025_2026,M30,diag_break,fixed_1_5R,64,46.875,5.521516293387192,0.08627369208417487,1.1847411052599037,7.322741708303926,6,1.5000000000000024,1.5,51.1875,31.25
IS_2014_2024,H4,strict_synapse,fixed_2R,11,63.63636363636363,4.951154683742379,0.4501049712493072,2.6083586781017174,1.0114285612991925,2,2.0,2.0,46.27272727272727,18.181818181818183
IS_2014_2024,H4,observe_loose,fixed_1_5R,241,42.738589211618255,4.270041189700411,0.017718013235271415,1.0341278316946625,18.46884838220139,8,1.4999999999999998,1.5,29.53526970954357,32.365145228215766
OOS_2025_2026,M30,context,fixed_1_5R,38,47.368421052631575,4.009051195737626,0.1055013472562533,1.22294363471156,6.135751214839083,5,1.5000000000000024,1.5,44.026315789473685,36.84210526315789
