trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,symbol,rule_name,rule_desc,early_exit_bars
55,25.454545454545453,8.422386516015685,0.15313430029119426,1.2540407256243216,9.758534540220882,30.909090909090907,EURJPY,break010,終値の抜け幅がATR0.10以上,3
55,34.54545454545455,33.39151582175409,0.607118469486438,2.449688880979733,6.22130375759072,36.36363636363637,GBPJPY,break010,終値の抜け幅がATR0.10以上,3
54,25.925925925925924,9.673005625821384,0.1791297338115071,1.3064262864073064,9.767665331833818,31.48148148148148,CHFJPY,break010,終値の抜け幅がATR0.10以上,3
68,23.52941176470588,6.832861274969556,0.10048325404366994,1.168980014508687,11.378663907099755,29.411764705882355,AUDJPY,break010,終値の抜け幅がATR0.10以上,3
58,36.206896551724135,23.366988945994912,0.40287911975853297,1.653815099126771,8.673335558782078,22.413793103448278,SILVER,break010,終値の抜け幅がATR0.10以上,3
413,31.234866828087167,149.48204027467648,0.36194198613723116,1.652759481627087,11.378663907099764,28.087167070217916,ALL,break010,終値の抜け幅がATR0.10以上,3
65,40.0,46.104479609659485,0.7092996863024537,2.5146812755315335,5.3377521042549745,29.230769230769234,XAUUSD,break010,終値の抜け幅がATR0.10以上,6
58,31.03448275862069,23.30241646637914,0.4017658011444679,1.7755300286951803,8.13267150300398,34.48275862068966,USDJPY,break010,終値の抜け幅がATR0.10以上,6
55,23.636363636363637,6.8277338847623295,0.1241406160865878,1.214904827698689,9.631443456086222,40.0,EURJPY,break010,終値の抜け幅がATR0.10以上,6
55,30.909090909090907,27.52606593572565,0.5004739261041028,2.1993917967532606,6.22130375759072,41.81818181818181,GBPJPY,break010,終値の抜け幅がATR0.10以上,6
54,25.925925925925924,13.034413932079111,0.2413780357792428,1.4621191120087458,8.02167807999574,40.74074074074074,CHFJPY,break010,終値の抜け幅がATR0.10以上,6
68,22.058823529411764,6.636233713642785,0.09759167225945271,1.1762011145411746,10.87634567928375,38.23529411764706,AUDJPY,break010,終値の抜け幅がATR0.10以上,6
58,31.03448275862069,15.030316568262798,0.2591433891079793,1.4215505964102895,10.725192545946548,32.758620689655174,SILVER,break010,終値の抜け幅がATR0.10以上,6
413,29.297820823244553,138.4616601105113,0.3352582569261775,1.6388673964596858,10.876345679283759,36.56174334140436,ALL,break010,終値の抜け幅がATR0.10以上,6
