zone_type,currency,side_mode,price_lo,price_hi,price_mid,loss_count,student_count,start_jst,end_jst,avg_loss_pips,psychology
FEAR_ENTRY,AUDJPY,buy,101.167,101.353,101.24533333333333,3,3,2024-10-04 01:59:00,2025-11-14 22:03:00,-92.60000000000001,損切集中・恐怖の出口
FEAR_ENTRY,AUDJPY,buy,109.188,109.39,109.289,2,2,2026-02-04 04:18:00,2026-02-06 08:19:00,-60.9,損切集中・恐怖の出口
FEAR_ENTRY,AUDJPY,buy,110.54,110.57,110.555,2,2,2026-02-10 01:36:00,2026-02-10 22:35:00,-97.1,損切集中・恐怖の出口
FEAR_ENTRY,AUDJPY,buy,97.302,97.302,97.302,1,1,2025-10-02 12:48:00,2025-10-02 17:48:00,-12.1,損切集中・恐怖の出口
FEAR_ENTRY,AUDJPY,sell,99.356,99.356,99.356,1,1,2025-10-07 18:35:00,2025-10-07 22:32:00,-13.0,損切集中・恐怖の出口
FEAR_ENTRY,AUDJPY,buy,99.92,99.92,99.92,1,1,2024-09-27 08:08:00,2024-09-27 15:23:00,-81.0,損切集中・恐怖の出口
FEAR_ENTRY,AUDJPY,buy,106.838,106.838,106.838,1,1,2026-01-22 02:49:00,2026-01-26 11:10:00,-10.9,損切集中・恐怖の出口
FEAR_ENTRY,AUDNZD,sell,1.10037,1.10037,1.10037,1,1,2024-10-16 20:28:00,2024-10-18 11:13:00,-62.0,損切集中・恐怖の出口
FEAR_ENTRY,AUDUSD,buy,0.67185,0.71258,0.692215,2,2,2025-12-29 09:50:00,2026-02-13 14:53:00,-46.4,損切集中・恐怖の出口
FEAR_ENTRY,CHFJPY,buy,185.83,185.83,185.83,1,1,2025-10-01 10:50:00,2025-10-01 17:14:00,-85.0,損切集中・恐怖の出口
FEAR_ENTRY,EURAUD,buy,1.63604,1.63604,1.63604,1,1,2024-11-18 18:58:00,2024-11-19 12:30:00,-101.0,損切集中・恐怖の出口
FEAR_ENTRY,EURJPY,buy,162.322,162.51,162.416,2,2,2024-09-27 10:29:00,2024-11-20 15:23:00,-264.005,損切集中・恐怖の出口
FEAR_ENTRY,EURJPY,buy,162.85,163.032,162.941,2,2,2024-10-09 16:38:00,2024-11-18 22:05:00,-45.95,損切集中・恐怖の出口
