prox_yen,prox_half,ext_atr,swing_len,big_mult,fwd_bars,strict_f1,wick_atr,sweep_lb,revenge_bars,stop_count,stop_long,stop_short,adverse_rate,sweep_down_n,sweep_down_up_edge,sweep_up_n,sweep_up_dn_edge,avg_fwd_up_after_sweep_dn,avg_fwd_dn_after_sweep_up,revenge_after_stop_n,revenge_fwd_up_rate,chain_stop_sweep_up,chain_n,score_edge,symbol
0.15,0.1,0.6,36,0.95,48,False,0.25,32,72,1636,891,745,0.5061124694376528,86,0.627906976744186,99,0.41414141414141414,157.7302325581396,109.88787878787879,879,0.5164960182025028,0.2222222222222222,18,0.42506459948320413,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.4,12,72,1636,891,745,0.5061124694376528,90,0.5888888888888889,94,0.43617021276595747,144.53,106.69042553191498,879,0.5164960182025028,0.2777777777777778,18,0.43333333333333335,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.4,20,72,1636,891,745,0.5061124694376528,67,0.5671641791044776,79,0.45569620253164556,155.5283582089551,108.53037974683555,879,0.5164960182025028,0.23076923076923078,13,0.39896670493685416,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.4,32,72,1636,891,745,0.5061124694376528,49,0.5714285714285714,58,0.46551724137931033,165.3163265306123,114.62413793103448,879,0.5164960182025028,0.1,10,0.3357142857142857,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.55,12,72,1636,891,745,0.5061124694376528,52,0.6153846153846154,41,0.5609756097560976,155.1826923076923,132.51951219512202,879,0.5164960182025028,0.2222222222222222,9,0.4188034188034188,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.55,20,72,1636,891,745,0.5061124694376528,39,0.5897435897435898,35,0.5714285714285714,159.83589743589735,131.86571428571435,879,0.5164960182025028,0.14285714285714285,7,0.36630036630036633,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.55,32,72,1636,891,745,0.5061124694376528,32,0.625,28,0.6071428571428571,175.05312500000008,141.41071428571428,879,0.5164960182025028,0.0,6,0.3125,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.25,12,72,2083,1158,925,0.5069611137782045,148,0.6351351351351351,154,0.44155844155844154,179.5574324324324,123.46883116883124,1142,0.5280210157618214,0.2894736842105263,38,0.4623044096728307,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.25,20,72,2083,1158,925,0.5069611137782045,116,0.6379310344827587,128,0.4453125,180.84913793103433,125.86640625000013,1142,0.5280210157618214,0.25,28,0.44396551724137934,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.25,32,72,2083,1158,925,0.5069611137782045,86,0.6976744186046512,99,0.4444444444444444,195.58023255813947,129.08181818181822,1142,0.5280210157618214,0.25,20,0.4738372093023256,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.4,12,72,2083,1158,925,0.5069611137782045,90,0.5777777777777777,94,0.43617021276595747,174.95999999999992,127.39042553191501,1142,0.5280210157618214,0.2857142857142857,21,0.4317460317460317,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.4,20,72,2083,1158,925,0.5069611137782045,67,0.5970149253731343,79,0.43037974683544306,185.073134328358,127.74556962025332,1142,0.5280210157618214,0.2,15,0.3985074626865671,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.4,32,72,2083,1158,925,0.5069611137782045,49,0.6326530612244898,58,0.4482758620689655,197.96938775510205,136.00172413793103,1142,0.5280210157618214,0.09090909090909091,11,0.3617810760667904,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.55,12,72,2083,1158,925,0.5069611137782045,52,0.6346153846153846,41,0.5121951219512195,186.85192307692296,154.8365853658537,1142,0.5280210157618214,0.3,10,0.4673076923076923,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.55,20,72,2083,1158,925,0.5069611137782045,39,0.6153846153846154,35,0.4857142857142857,186.2615384615383,154.1657142857143,1142,0.5280210157618214,0.14285714285714285,7,0.3791208791208791,GBPJPY
0.15,0.1,0.6,36,0.95,72,True,0.55,32,72,2083,1158,925,0.5069611137782045,32,0.6875,28,0.5,200.65,167.5357142857142,1142,0.5280210157618214,0.0,6,0.34375,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.25,12,72,1636,891,745,0.5036674816625917,148,0.6351351351351351,154,0.44155844155844154,179.5574324324324,123.46883116883124,879,0.5290102389078498,0.29411764705882354,34,0.46462639109697934,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.25,20,72,1636,891,745,0.5036674816625917,116,0.6379310344827587,128,0.4453125,180.84913793103433,125.86640625000013,879,0.5290102389078498,0.28,25,0.45896551724137935,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.25,32,72,1636,891,745,0.5036674816625917,86,0.6976744186046512,99,0.4444444444444444,195.58023255813947,129.08181818181822,879,0.5290102389078498,0.2777777777777778,18,0.4877260981912145,GBPJPY
