strategy,excluded_symbols,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,research_trades,research_total_r,oos_trades,oos_total_r
SHELF6_DON55_BREAK_RR15,"GBPJPY,USDJPY",30,56.666666666666664,11.320999273040725,0.3773666424346908,1.846175243742149,4.848226998509654,29,9.827482996983147,1,1.4935162760575778
SHELF6_PRECALM_BREAK_RR15,"SILVER,USDJPY,XAUUSD",34,55.88235294117647,12.83120518094433,0.37738838767483324,1.8327930614978154,6.227376554477063,30,9.405314415938347,4,3.425890765005984
SHELF6_DON20_BREAK_RR15,"USDJPY,XAUUSD",43,55.81395348837209,15.953008006970906,0.37100018620862574,1.8314324324121334,5.40862431446773,40,14.001465016647307,3,1.9515429903235997
SHELF6_BREAK_RR15,"CHFJPY,SILVER,XAUUSD",90,55.55555555555556,33.54738614178279,0.37274873490869764,1.8303122882368918,7.830403846323872,79,27.19922700282752,11,6.3481591389552605
SHELF6_DON55_BREAK_RR15,"EURJPY,GBPJPY,XAUUSD",25,56.00000000000001,9.283401524050625,0.371336060962025,1.8272469944570093,2.0683410901469217,24,10.294127603099863,1,-1.0107260790492378
SHELF6_PRECALM_BREAK_RR15,"GBPJPY,SILVER,USDJPY",34,55.88235294117647,12.741638447935037,0.3747540719980893,1.8268452473620787,6.227376554477061,29,10.325718755931966,5,2.415919692003071
SHELF6_DON20_PRECALM_RR15,USDJPY,16,56.25,5.983048311164112,0.373940519447757,1.8218650983975528,5.221300516422955,15,4.504817642288411,1,1.4782306688757012
SHELF6_DON20_EMA_RR15,"GBPJPY,USDJPY,XAUUSD",32,56.25,11.779688375406813,0.3681152617314629,1.8170093088941202,4.814191499461327,30,11.317163264601463,2,0.4625251108053514
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,GBPJPY,XAUUSD",34,55.88235294117647,12.61870525700495,0.3711383899119103,1.8100745876698403,5.647645454751135,29,7.686710823013066,5,4.931994433991882
SHELF6_DON55_BREAK_RR15,XAUUSD,38,55.26315789473685,13.671063599629058,0.3597648315691857,1.8039995104949296,5.05671627385953,37,14.681789678678296,1,-1.0107260790492378
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"AUDJPY,CHFJPY,SILVER",29,55.172413793103445,10.597181523864368,0.3654200525470472,1.8009408925481005,2.666198428989002,24,8.1533888317511,5,2.443792692113267
SHELF6_DON55_BREAK_RR15,"AUDJPY,GBPJPY,USDJPY",25,56.00000000000001,8.946887118847107,0.35787548475388425,1.7895520766652122,3.8208476559921887,24,7.453370842789528,1,1.4935162760575778
SHELF6_PRECALM_BREAK_RR15,"SILVER,USDJPY",38,55.26315789473685,13.710327594492329,0.3607980945919034,1.7856735790650913,6.227376554477063,33,11.29440790248926,5,2.415919692003071
SHELF6_AFTER_DORMANT60_RR15,"AUDJPY,GBPJPY,XAUUSD",18,55.55555555555556,6.417513276479543,0.3565285153599746,1.7836857420346386,2.0742984959243103,15,7.00572667950016,3,-0.588213403020617
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,XAUUSD",20,55.00000000000001,7.145009050802791,0.35725045254013954,1.7796842825615764,2.605447849311799,18,4.16413571622338,2,2.980873334579411
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,SILVER,XAUUSD",20,55.00000000000001,7.145009050802791,0.35725045254013954,1.7796842825615764,2.605447849311799,18,4.16413571622338,2,2.980873334579411
SHELF6_PRECALM_BREAK_RR15,"AUDJPY,CHFJPY,SILVER",31,54.83870967741935,11.075909201217222,0.3572873935876523,1.7775199014416694,3.6804603630892405,26,8.632116509103955,5,2.443792692113267
SHELF6_DON20_BREAK_RR15,"EURJPY,USDJPY,XAUUSD",31,54.83870967741935,10.898206547329686,0.35155504991386083,1.7727622891430945,5.408624314467729,29,7.930957998935737,2,2.9672485483939495
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,XAUUSD",38,55.26315789473685,13.587394403562241,0.35756301062005896,1.7712361897213758,6.668725730679375,33,8.65539996957036,5,4.931994433991882
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,EURJPY",20,55.00000000000001,7.0515417891455145,0.3525770894572757,1.7662596155332961,2.088204849396216,17,5.073343826178213,3,1.9781979629673005
