sample,group,bucket,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,hit_1r_within_3_rate,hit_1r_within_6_rate,retest_mid_6_rate,giveback_1r_to_loss_rate
primary_L120_ADX30_RISK1_5_BBW3_8,pre_break_regime,mixed_or_wide_range,6,66.66666666666666,5.657363232825157,0.9428938721375261,3.6438339789149734,1.1322594416970482,1,1.7780939524789903,50.0,50.0,66.66666666666666,16.666666666666664
primary_L120_ADX30_RISK1_5_BBW3_8,pre_break_regime,range_support_break,4,50.0,1.8528687786764626,0.46321719466911565,1.8809687517480176,1.0396514474657725,2,1.163483205211558,50.0,50.0,50.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,followthrough_bucket,00_hit_1r_<=3,7,85.71428571428571,10.602731690461631,1.514675955780233,10.364224576100764,1.1322594416970482,1,2.1731528216298224,100.0,100.0,14.285714285714285,14.285714285714285
primary_L120_ADX30_RISK1_5_BBW3_8,followthrough_bucket,01_hit_1r_<=6,3,66.66666666666666,2.4650980352771783,0.8216993450923927,2.907307335947956,1.292449302121513,1,1.9074798570665041,0.0,100.0,0.0,33.33333333333333
primary_L120_ADX30_RISK1_5_BBW3_8,followthrough_bucket,02_no_fast_1r,8,37.5,0.5418442374069095,0.06773052967586368,1.1037001670212927,2.2402947148595542,2,0.9975751277903524,0.0,0.0,100.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,retest_bucket,00_no_mid_retest_6,9,77.77777777777779,11.129768793385026,1.2366409770427806,5.5901466812287195,1.292449302121513,1,2.1024663887962034,66.66666666666666,100.0,0.0,22.22222222222222
primary_L120_ADX30_RISK1_5_BBW3_8,retest_bucket,01_mid_retest_6,9,44.44444444444444,2.479905169760694,0.2755450188622993,1.4746134821546997,2.2402947148595533,2,1.110323649529473,11.11111111111111,11.11111111111111,100.0,0.0
practical_all_lookbacks,symbol,GBPJPY,66,56.060606060606055,43.54359247799373,0.6597514011817232,2.4630666707043245,14.393820712339224,14,1.3031723127538042,3.0303030303030303,22.727272727272727,83.33333333333334,3.0303030303030303
practical_all_lookbacks,symbol,CHFJPY,26,46.15384615384615,8.650815996410397,0.33272369216963066,1.5942000054235732,9.347717991099284,10,1.3889898232755584,46.15384615384615,53.84615384615385,53.84615384615385,7.6923076923076925
practical_all_lookbacks,symbol,XAUUSD,10,60.0,7.515354564306641,0.7515354564306641,2.827214784941322,4.113011029816063,4,1.4742732241269074,80.0,80.0,100.0,20.0
practical_all_lookbacks,symbol,EURJPY,12,50.0,5.7185624503704275,0.4765468708642023,1.928564395624087,6.158498513748195,6,1.3579958927520226,66.66666666666666,66.66666666666666,50.0,16.666666666666664
practical_all_lookbacks,symbol,SILVER,54,37.03703703703704,-2.157877627745045,-0.03996069681009343,0.9450022600485353,30.20273200065585,26,1.6567026584746576,40.74074074074074,51.85185185185185,29.629629629629626,48.148148148148145
practical_all_lookbacks,symbol,USDJPY,6,0.0,-6.034807801366129,-1.0058013002276882,0.0,5.029006501138441,6,0.5052932498321018,0.0,0.0,100.0,0.0
practical_all_lookbacks,symbol,AUDJPY,24,8.333333333333332,-18.57991978207119,-0.7741633242529663,0.17514530434416528,19.479851964552378,20,0.3021743604783044,8.333333333333332,8.333333333333332,91.66666666666666,0.0
practical_all_lookbacks,period,train_2015_2020,134,43.28358208955223,31.435393494887254,0.23459248876781533,1.3900315634167242,21.21112890879403,20,1.2183845399615019,12.686567164179104,22.388059701492537,79.1044776119403,10.44776119402985
practical_all_lookbacks,period,oos_2025_2026,14,42.857142857142854,3.6859566446901457,0.2632826174778676,1.448397714064046,8.220284201011044,8,1.315585972077548,14.285714285714285,57.14285714285714,57.14285714285714,14.285714285714285
practical_all_lookbacks,period,test_2021_2024,50,38.0,3.5343701383214303,0.07068740276642861,1.105282204161319,20.579117714930128,19,1.4245189349077088,70.0,74.0,30.0,36.0
practical_all_lookbacks,zone_range_bucket,02_wide_0.70-1.00,171,45.614035087719294,52.62074186288611,0.30772363662506497,1.5340970405385348,42.25842703869454,39,1.3386738307674508,27.485380116959064,38.59649122807017,64.91228070175438,15.204678362573098
practical_all_lookbacks,zone_range_bucket,01_mid_0.40-0.70,27,18.51851851851852,-13.965021584987273,-0.5172230216661953,0.41483168370221357,18.58071163050853,18,0.8886834684473434,25.925925925925924,33.33333333333333,66.66666666666666,29.629629629629626
practical_all_lookbacks,break_depth_bucket,03_too_deep_>0.40,30,80.0,40.409082511418745,1.3469694170472915,6.5990503047042885,7.217131533443673,6,1.8707988160238642,6.666666666666667,40.0,60.0,13.333333333333334
practical_all_lookbacks,break_depth_bucket,01_clean_0.05-0.20,73,42.465753424657535,13.880317723647401,0.19014133868010138,1.30383008249555,22.2303453620872,20,1.5083173424440715,43.83561643835616,50.68493150684932,57.534246575342465,27.397260273972602
practical_all_lookbacks,break_depth_bucket,02_strong_0.20-0.40,95,29.47368421052631,-15.633679957167315,-0.16456505218070858,0.7750101940551138,36.46139742413085,23,0.9123847182124133,21.052631578947366,27.368421052631582,72.63157894736842,10.526315789473683
practical_all_lookbacks,break_close_location_bucket,00_close_near_low,117,51.28205128205128,56.28210018763703,0.481043591347325,1.9322598247989475,35.670453295091946,33,1.4443076817768734,31.62393162393162,35.8974358974359,67.52136752136752,18.803418803418804
practical_all_lookbacks,break_close_location_bucket,03_close_high,3,33.33333333333333,-0.11476166226923246,-0.03825388742307748,0.9451394324515701,2.091878873982169,2,1.0809948627074637,33.33333333333333,100.0,66.66666666666666,0.0
practical_all_lookbacks,break_close_location_bucket,01_lower_mid,63,31.746031746031743,-7.243123303262525,-0.11497021116289723,0.842215930964531,26.286819355654703,23,1.022982787832809,22.22222222222222,44.44444444444444,61.904761904761905,12.698412698412698
practical_all_lookbacks,break_close_location_bucket,02_upper_mid,15,13.333333333333334,-10.268494944206449,-0.6845663296137633,0.2675259381852585,12.802887291232123,13,1.0821853146552527,13.333333333333334,13.333333333333334,60.0,26.666666666666668
practical_all_lookbacks,break_body_bucket,02_large_body,110,49.09090909090909,45.97235053148928,0.4179304593771753,1.7681194817316317,33.63556189508903,31,1.3669204830550377,33.63636363636363,38.18181818181819,65.45454545454545,20.0
practical_all_lookbacks,break_body_bucket,01_medium_body,72,37.5,4.112784724766316,0.05712201006619883,1.086845630688928,28.73858334598819,20,1.2165161871890042,20.833333333333336,40.27777777777778,65.27777777777779,11.11111111111111
practical_all_lookbacks,break_body_bucket,00_small_body,16,12.5,-11.429414978356771,-0.7143384361472982,0.2470661553531815,13.963807325382442,14,0.9348287559781181,12.5,25.0,62.5,25.0
practical_all_lookbacks,zone_drift_bucket,02_drifting_up,34,85.29411764705883,50.66628124193976,1.4901847424099928,10.837669524859132,5.150232086360447,5,2.210108151978046,29.411764705882355,38.23529411764706,61.76470588235294,0.0
practical_all_lookbacks,zone_drift_bucket,01_flat,93,45.16129032258064,27.393481379145758,0.2945535632166211,1.5037455887246063,33.64675219517504,31,1.2108770325227687,15.053763440860216,30.107526881720432,67.74193548387096,10.75268817204301
practical_all_lookbacks,zone_drift_bucket,00_drifting_down,71,16.901408450704224,-39.404042343186674,-0.5549865118758687,0.3731255463123912,61.82969829432951,58,0.9176399650343847,42.25352112676056,47.88732394366197,63.38028169014085,33.80281690140845
practical_all_lookbacks,risk_bucket,01_1-1.5ATR,198,41.91919191919192,38.65572027789883,0.19523091049443853,1.3158462502226982,42.520173344435776,39,1.2773115086328908,27.27272727272727,37.878787878787875,65.15151515151516,17.17171717171717
practical_all_lookbacks,bb_width_bucket,02_5-8ATR,136,48.529411764705884,54.446822441076776,0.4003442826549763,1.7423680395035477,25.107599659396982,24,1.3401285169573014,21.323529411764707,27.941176470588236,76.47058823529412,10.294117647058822
practical_all_lookbacks,bb_width_bucket,01_3-5ATR,62,27.419354838709676,-15.791102163177934,-0.25469519618028924,0.6780328137949982,40.98299331279785,37,1.1395193613406347,40.32258064516129,59.67741935483871,40.32258064516129,32.25806451612903
practical_all_lookbacks,bb_pos_bucket,01_0-0.25,109,48.62385321100918,44.33921352093233,0.40678177542139754,1.759082870553383,25.003981754124556,24,1.3001940254595892,18.34862385321101,26.605504587155966,82.56880733944955,9.174311926605505
practical_all_lookbacks,bb_pos_bucket,02_0.25-0.50,82,35.36585365853659,-1.625802653380307,-0.019826861626589108,0.9719405749905968,21.649856254139834,19,1.2883758151092697,40.243902439024396,54.87804878048781,40.243902439024396,29.268292682926827
practical_all_lookbacks,bb_pos_bucket,03_>0.50,7,14.285714285714285,-4.057690589653192,-0.5796700842361703,0.32761891957277695,6.034807801366129,6,0.7913875850367136,14.285714285714285,14.285714285714285,85.71428571428571,0.0
practical_all_lookbacks,bars_after_break_bucket,00_<=12,137,44.52554744525548,38.54657120065243,0.2813618335814046,1.4853048973427194,29.07220320338263,28,1.216545824733404,16.05839416058394,24.087591240875913,80.2919708029197,10.218978102189782
practical_all_lookbacks,bars_after_break_bucket,02_25-36,8,75.0,9.839043180879887,1.229880397609986,5.851869803240528,1.0139434465356494,2,1.777883640618854,75.0,75.0,25.0,0.0
practical_all_lookbacks,bars_after_break_bucket,01_13-24,53,30.18867924528302,-9.729894103633486,-0.18358290761572615,0.7622933265127707,23.514556516068524,21,1.3588270112431167,49.056603773584904,67.9245283018868,32.075471698113205,37.735849056603776
practical_all_lookbacks,support_age_bucket,02_60-119bars,26,69.23076923076923,26.91705222569511,1.0352712394498118,4.195592168776584,6.381395518674566,6,1.6462245671469473,26.923076923076923,38.46153846153847,69.23076923076923,0.0
practical_all_lookbacks,support_age_bucket,00_<=24bars,106,38.67924528301887,9.121406039594945,0.08605100037353722,1.1315654563747735,43.09678730246861,40,1.1953778732978517,21.69811320754717,36.79245283018868,63.20754716981132,15.09433962264151
practical_all_lookbacks,support_age_bucket,04_>=240bars,6,66.66666666666666,5.6737189060914845,0.945619817681914,3.5054853583678773,2.2645188833940963,2,1.8420678577133636,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333
practical_all_lookbacks,support_age_bucket,03_120-239bars,14,42.857142857142854,3.5534472389512537,0.25381765992508953,1.4260691479003937,4.384790550534327,4,1.165541264710049,14.285714285714285,28.57142857142857,85.71428571428571,0.0
practical_all_lookbacks,support_age_bucket,01_25-59bars,46,30.434782608695656,-6.609904132433961,-0.14369356809639044,0.8057636408793087,19.92418019718919,18,1.2179521856891,43.47826086956522,43.47826086956522,60.86956521739131,34.78260869565217
practical_all_lookbacks,pre_break_regime,mixed_or_wide_range,75,46.666666666666664,26.042461879040346,0.34723282505387126,1.6131058996673366,20.151042467155683,18,1.4585164573976002,42.66666666666667,44.0,64.0,25.333333333333336
practical_all_lookbacks,pre_break_regime,range_support_break,24,45.83333333333333,8.134550795209353,0.3389396164670564,1.596686657291268,11.548423640443659,11,1.1230619778013022,16.666666666666664,33.33333333333333,70.83333333333334,0.0
practical_all_lookbacks,pre_break_regime,trend_continuation_break,99,37.37373737373738,4.478707603649129,0.045239470743930595,1.0675739403300455,43.142128516352315,38,1.1774288579521326,18.181818181818183,34.34343434343434,64.64646464646465,15.151515151515152
practical_all_lookbacks,followthrough_bucket,00_hit_1r_<=3,54,59.25925925925925,37.387578071135565,0.6923625568728808,2.5132533868429596,20.151042467155655,18,1.8980180565770641,100.0,100.0,22.22222222222222,40.74074074074074
practical_all_lookbacks,followthrough_bucket,01_hit_1r_<=6,21,52.38095238095239,9.951576328216706,0.4738845870579384,1.871567484487596,11.418021559245473,10,1.6480478217649928,0.0,100.0,28.57142857142857,38.095238095238095
practical_all_lookbacks,followthrough_bucket,02_no_fast_1r,123,32.52032520325203,-8.683434121453432,-0.07059702537767018,0.8993376771659756,40.47315145755544,39,0.9415097511958217,0.0,0.0,90.2439024390244,3.2520325203252036
practical_all_lookbacks,retest_bucket,00_no_mid_retest_6,69,65.21739130434783,58.90881941612042,0.8537510060307307,3.092669898397138,18.11615106715277,16,1.9763188546114276,60.86956521739131,82.6086956521739,0.0,34.78260869565217
practical_all_lookbacks,retest_bucket,01_mid_retest_6,129,29.457364341085274,-20.253099138221604,-0.15700076851334577,0.7850849573649952,50.77000487348936,49,0.9034238584583245,9.30232558139535,13.953488372093023,100.0,7.751937984496124
all_stagnation,symbol,XAUUSD,209,33.97129186602871,-22.855936011040193,-0.10935854550736934,0.8355508343564624,55.03967965988879,17,1.1627086906776316,20.095693779904305,27.27272727272727,57.89473684210527,16.267942583732058
all_stagnation,symbol,SILVER,221,34.841628959276015,-38.911984520517656,-0.17607232814713872,0.7511276252491592,63.74649533717218,42,1.1423904604611195,16.289592760180994,21.266968325791854,55.65610859728507,15.837104072398189
all_stagnation,symbol,AUDJPY,159,24.528301886792452,-43.86205681510552,-0.27586199254783345,0.6123081486462838,61.18866935767833,34,1.0184969761649636,3.1446540880503147,7.547169811320755,64.77987421383648,16.9811320754717
all_stagnation,symbol,GBPJPY,221,24.8868778280543,-64.51025284271554,-0.2919015965733735,0.590999249381363,65.64647401253525,51,0.8555868983961563,5.429864253393665,12.217194570135746,58.82352941176471,9.049773755656108
all_stagnation,symbol,EURJPY,176,25.568181818181817,-64.81360726883413,-0.36825913220928486,0.5093202067407319,75.49609352311742,54,0.9311485656279959,17.045454545454543,17.613636363636363,50.0,14.204545454545455
